size,time_seconds
2,1.7e-07
3,9e-08
4,9e-08
5,6e-08
6,7e-08
7,7e-08
8,6e-08
9,5e-08
10,6e-08
11,1.4e-07
12,1.5e-07
13,6e-08
14,7e-08
15,6.9e-08
16,7e-08
17,4.4e-07
18,1.8e-07
19,3.9e-07
20,1.9e-07
21,1.1e-07
22,2.9e-07
23,1.3e-07
24,1.4e-07
25,2.3e-07
26,3.8e-07
27,1.7e-07
28,1.8e-07
29,4e-07
30,2e-07
31,2.1e-07
32,3.8e-07
33,2.5e-07
34,6.4e-07
35,4e-07
36,2.8e-07
37,5.2e-07
38,6.4e-07
39,5.2e-07
40,4.7e-07
41,7.8e-07
42,5.3e-07
43,6.6e-07
44,5.7e-07
45,6.2e-07
46,6.1e-07
47,7.5e-07
48,8e-07
49,9.7e-07
50,6.9e-07
51,8.7e-07
52,8.6e-07
53,8.4e-07
54,1.11e-06
55,8.9e-07
56,1e-06
57,1.02e-06
58,1.1e-06
59,1.33e-06
60,1.53e-06
61,1.24e-06
62,1.16e-06
63,1.34e-06
64,1.29e-06
65,1.36e-06
66,1.67e-06
67,1.37e-06
68,1.45e-06
69,1.49e-06
70,1.48e-06
71,1.57e-06
72,1.73e-06
73,1.56e-06
74,1.68e-06
75,1.91e-06
76,1.86e-06
77,1.95e-06
78,1.94e-06
79,1.9e-06
80,1.83e-06
81,1.91e-06
82,2.23e-06
83,2.01e-06
84,2.22e-06
85,2.16e-06
86,2.11e-06
87,2.47e-06
88,2.3e-06
89,2.35e-06
90,2.28e-06
91,2.63e-06
92,2.47e-06
93,2.47e-06
94,2.51e-06
95,2.81e-06
96,2.67e-06
97,2.95e-06
98,2.73e-06
99,2.73e-06
100,2.82e-06
101,3.14e-06
102,2.92e-06
103,3.11e-06
104,3.03e-06
105,3.38e-06
106,3.1e-06
107,3.16e-06
108,3.29e-06
109,3.3e-06
110,3.29e-06
111,3.48e-06
112,3.47e-06
113,3.51e-06
114,3.49e-06
115,3.63e-06
116,3.74e-06
117,3.72e-06
118,3.81e-06
119,3.9e-06
120,4.03e-06
121,3.93e-06
122,4.07e-06
123,4.2e-06
124,4.48e-06
125,4.53e-06
126,5.35e-06
127,4.44e-06
128,4.62e-06
129,4.62e-06
130,5.81e-06
131,4.75e-06
132,4.849e-06
133,4.7e-06
134,4.86e-06
135,4.9e-06
136,5.03e-06
137,4.97e-06
138,5.09e-06
139,5.26e-06
140,5.26e-06
141,5.269e-06
142,5.67e-06
143,5.46e-06
144,5.62e-06
145,5.75e-06
146,5.61e-06
147,5.99e-06
148,5.84e-06
149,5.85e-06
150,5.88e-06
151,6.34e-06
152,6.29e-06
153,6.249e-06
154,1.298e-05
155,8.6e-06
156,7.6e-06
157,8.67e-06
158,8.7e-06
159,9.1e-06
160,8.97e-06
161,9.11e-06
162,1.32e-05
163,9.24e-06
164,8.27e-06
165,9.609e-06
166,9.73e-06
167,9.78e-06
168,9.71e-06
169,9.81e-06
170,9.95e-06
171,9.97e-06
172,1.139e-05
173,1.02e-05
174,1.065e-05
175,1.038e-05
176,1.051e-05
177,1.0659e-05
178,1.353e-05
179,1.083e-05
180,1.268e-05
181,1.15e-05
182,1.117e-05
183,1.15e-05
184,1.142e-05
185,1.197e-05
186,1.251e-05
187,1.195e-05
188,1.375e-05
189,1.23e-05
190,1.276e-05
191,1.28e-05
192,1.427e-05
193,1.229e-05
194,1.3019e-05
195,1.335e-05
196,1.384e-05
197,1.266e-05
198,1.377e-05
199,1.356e-05
200,1.3799e-05
201,1.47e-05
202,1.475e-05
203,1.456e-05
204,1.504e-05
205,1.984e-05
206,1.566e-05
207,1.512e-05
208,1.496e-05
209,1.6269e-05
210,1.468e-05
211,1.573e-05
212,1.481e-05
213,1.643e-05
214,1.51e-05
215,1.625e-05
216,1.553e-05
217,1.806e-05
218,2.185e-05
219,1.687e-05
220,1.661e-05
221,1.7719e-05
222,1.976e-05
223,1.706e-05
224,1.8649e-05
225,1.737e-05
226,1.8389e-05
227,1.833e-05
228,1.889e-05
229,2.0929e-05
230,2.357e-05
231,1.908e-05
232,1.812e-05
233,1.953e-05
234,1.951e-05
235,1.831e-05
236,1.971e-05
237,2.003e-05
238,2.067e-05
239,2.058e-05
240,1.944e-05
