size,time_seconds
2,3e-07
3,2.5e-07
4,2.9e-07
5,2.8e-07
6,2.9e-07
7,4.5e-07
8,5.5e-07
9,1.19e-06
10,8.2e-07
11,9.5e-07
12,9.6e-07
13,1.12e-06
14,1.27e-06
15,1.43e-06
16,1.52e-06
17,1.71e-06
18,1.89e-06
19,2.09e-06
20,2.31e-06
21,2.54e-06
22,3.08e-06
23,3.22e-06
24,3.53e-06
25,3.7e-06
26,4.17e-06
27,4.28e-06
28,4.59e-06
29,4.89e-06
30,5.31e-06
31,5.529e-06
32,5.84e-06
33,6.26e-06
34,6.82e-06
35,7.05e-06
36,7.76e-06
37,7.95e-06
38,8.48e-06
39,8.61e-06
40,9.27e-06
41,1.022e-05
42,9.98e-06
43,1.0569e-05
44,1.133e-05
45,1.163e-05
46,1.2e-05
47,1.2859e-05
48,1.316e-05
49,1.367e-05
50,1.433e-05
51,1.482e-05
52,1.526e-05
53,1.576e-05
54,1.6559e-05
55,2.164e-05
56,1.776e-05
57,1.8319e-05
58,1.902e-05
59,1.966e-05
60,2.038e-05
61,2.091e-05
62,2.176e-05
63,2.232e-05
64,2.305e-05
65,2.377e-05
66,2.545e-05
67,2.5479e-05
68,2.613e-05
69,2.6769e-05
70,2.747e-05
71,2.8249e-05
72,3.282e-05
73,2.9879e-05
74,3.072e-05
75,3.152e-05
76,3.246e-05
77,3.317e-05
78,3.4089e-05
79,3.485e-05
80,3.575e-05
81,3.6649e-05
82,3.76e-05
83,3.845e-05
84,3.925e-05
85,4.0309e-05
86,4.117e-05
87,4.216e-05
88,4.315e-05
89,4.4219e-05
90,4.5099e-05
91,4.612e-05
92,4.743e-05
93,4.82e-05
94,4.921e-05
95,5.02e-05
96,5.128e-05
97,5.252e-05
98,5.343e-05
99,5.446e-05
100,6.513e-05
101,5.683e-05
102,5.79e-05
103,5.891e-05
104,6.051e-05
105,6.13e-05
106,6.2939e-05
107,6.3669e-05
108,6.481e-05
109,6.635e-05
110,6.741e-05
111,6.8379e-05
112,6.991e-05
113,7.12e-05
114,7.2339e-05
115,7.3479e-05
116,7.477e-05
117,7.6049e-05
118,7.9629e-05
119,7.8749e-05
120,8.0079e-05
121,8.142e-05
122,8.2959e-05
123,8.4199e-05
124,8.59e-05
