size,time_seconds
2,5.5e-06
3,2.8e-07
4,4.5e-07
5,3.7e-07
6,4e-07
7,4e-07
8,4.2e-07
9,6.2e-07
10,6.5e-07
11,8.6e-07
12,9.9e-07
13,8.2e-07
14,9.5e-07
15,9.9e-07
16,1.11e-06
17,1.22e-06
18,1.32e-06
19,1.32e-06
20,1.53e-06
21,1.62e-06
22,2.07e-06
23,2.24e-06
24,2.15e-06
25,2.34e-06
26,2.49e-06
27,3.01e-06
28,2.96e-06
29,2.91e-06
30,2.88e-06
31,3.52e-06
32,3.42e-06
33,3.569e-06
34,3.87e-06
35,4e-06
36,4.33e-06
37,4.44e-06
38,4.73e-06
39,5.31e-06
40,5.55e-06
41,6.03e-06
42,5.72e-06
43,6.22e-06
44,6.809e-06
45,6.74e-06
46,7.13e-06
47,7.53e-06
48,7.69e-06
49,8.07e-06
50,8.49e-06
51,8.96e-06
52,9.21e-06
53,9.82e-06
54,1.006e-05
55,1.099e-05
56,1.088e-05
57,1.1529e-05
58,1.201e-05
59,1.251e-05
60,1.316e-05
61,1.371e-05
62,1.4019e-05
63,1.509e-05
64,1.554e-05
65,1.632e-05
66,1.646e-05
67,1.767e-05
68,1.777e-05
69,1.892e-05
70,1.9179e-05
71,2.07e-05
72,2.062e-05
73,2.182e-05
74,2.226e-05
75,2.356e-05
76,2.394e-05
77,2.532e-05
78,2.58e-05
79,2.767e-05
80,2.668e-05
81,2.86e-05
82,2.9049e-05
83,3.091e-05
84,3.1159e-05
85,3.205e-05
86,3.341e-05
87,3.568e-05
88,3.435e-05
89,3.69e-05
90,3.802e-05
91,3.968e-05
92,4.009e-05
93,4.325e-05
94,4.5259e-05
95,4.14e-05
96,3.8979e-05
97,4.167e-05
98,4.1599e-05
99,4.428e-05
100,4.371e-05
101,4.684e-05
102,4.683e-05
103,5.0359e-05
104,9.3619e-05
105,8.4369e-05
106,6.197e-05
107,5.8049e-05
108,5.7179e-05
109,5.896e-05
110,5.874e-05
111,6.1669e-05
112,6.4799e-05
113,6.372e-05
114,6.349e-05
115,6.736e-05
116,6.6379e-05
117,7.0659e-05
118,6.9029e-05
119,0.000456737
120,8.704e-05
121,9.006e-05
122,8.864e-05
123,9.376e-05
124,9.492e-05
125,8.904e-05
126,8.545e-05
127,8.7609e-05
128,9.4879e-05
129,9.0929e-05
130,9.4299e-05
131,0.000100889
132,9.7619e-05
133,9.914e-05
134,9.8179e-05
135,0.000104169
136,0.000102689
137,0.0001076
138,0.000106359
139,0.000114709
140,0.000110199
141,0.000116289
142,0.000116079
143,0.0001227
144,0.000120899
145,0.000130339
146,0.000125799
147,0.000133409
148,0.000129239
149,0.000140199
150,0.00013584
151,0.000143049
152,0.000140059
153,0.000151039
154,0.000149699
155,0.000151939
156,0.000149069
157,0.000170079
158,0.000157539
159,0.000163609
160,0.000165499
161,0.000171029
162,0.000167089
163,0.000177678
164,0.000176759
165,0.000179959
166,0.000181678
167,0.000185899
168,0.000183189
169,0.000204718
170,0.000190929
171,0.000210618
172,0.000196549
173,0.000206199
174,0.000209878
175,0.000213879
176,0.000208389
177,0.000218778
178,0.000214758
179,0.000226919
180,0.000221869
181,0.000237549
182,0.000228629
183,0.000245459
184,0.000236999
185,0.000249539
186,0.000248888
187,0.000257088
188,0.000252848
189,0.000264109
190,0.000260718
191,0.000276038
192,0.000270158
193,0.000285368
194,0.000275788
195,0.000290508
196,0.000284078
197,0.000308878
198,0.000292828
199,0.000333198
200,0.000307928
201,0.000316628
202,0.000321008
203,0.000326598
204,0.000318338
205,0.000356417
206,0.000332238
207,0.000344648
208,0.000338508
209,0.000350997
210,0.000344678
211,0.000367417
212,0.000357028
213,0.000376597
214,0.000371968
215,0.000381267
216,0.000377858
217,0.000398247
218,0.000390637
219,0.000405117
220,0.000392157
221,0.000416957
222,0.000405337
223,0.000424317
224,0.000414227
225,0.000438347
226,0.000427438
227,0.000444897
228,0.000449047
229,0.000463767
230,0.000451417
231,0.000471597
232,0.000469307
233,0.000484887
234,0.000468237
235,0.000502567
236,0.000482967
237,0.000512437
238,0.000495557
239,0.000527207
240,0.000506957
241,0.000561016
242,0.000524037
243,0.000542907
244,0.000531446
245,0.000555807
246,0.000548416
247,0.000572447
248,0.000553326
249,0.000580266
250,0.000571016
251,0.000597577
252,0.000580847
253,0.000621386
254,0.000614356
255,0.000636086
256,0.000796415
257,0.000643286
258,0.000626306
259,0.000662615
260,0.000632746
261,0.000666266
262,0.000644866
263,0.000675495
264,0.000654506
265,0.000692526
266,0.000678436
267,0.000705046
268,0.000682436
269,0.000726195
270,0.000710546
271,0.000742675
272,0.000711235
273,0.000747366
274,0.000741805
275,0.000771884
276,0.000757205
277,0.000781095
278,0.000769465
279,0.000793104
280,0.000778804
281,0.000812435
282,0.000789074
283,0.000837524
284,0.000797415
285,0.000857134
286,0.000831165
287,0.000867765
288,0.000839414
289,0.000882264
290,0.000853485
291,0.000904074
292,0.000865704
293,0.000943863
294,0.000914444
295,0.000946134
296,0.000908634
297,0.000960323
298,0.000931914
299,0.000976323
300,0.000949444
