size,time_seconds
2,2.62e-06
3,1.93e-06
4,2.86e-06
5,4.81e-06
6,7e-06
7,8.13e-06
8,6.365e-05
9,1.756e-05
10,2.42e-05
11,4.0779e-05
12,3.548e-05
13,4.513e-05
14,5.3219e-05
15,7.619e-05
16,8.9449e-05
17,9.8599e-05
18,0.00011994
19,0.000137509
20,0.000164939
21,0.000191078
22,0.000227939
23,0.000242938
24,0.000279898
25,0.000331708
26,0.000365188
27,0.000410267
28,0.000442107
29,0.000468487
30,0.000404587
31,0.000437527
32,0.000487787
33,0.000537907
34,0.000615186
35,0.000648535
36,0.000770075
37,0.000815775
38,0.000910154
39,0.00101895
40,0.0010882
41,0.00115933
42,0.00122393
43,0.00140773
44,0.00155771
45,0.00161211
46,0.00177013
47,0.00214687
48,0.00197581
49,0.00216646
50,0.00239341
51,0.00254801
52,0.00282096
53,0.00289232
54,0.00326043
55,0.00337597
56,0.0035392
57,0.0039582
58,0.00412485
59,0.0043421
60,0.00456204
61,0.00493227
62,0.00533182
63,0.00552212
64,0.00616429
65,0.0063041
66,0.00663598
67,0.0073523
68,0.00724153
69,0.00785909
70,0.00800158
71,0.00882452
72,0.00910666
73,0.00972083
74,0.00983476
75,0.0106564
76,0.0111258
77,0.0118872
78,0.0126676
79,0.0129529
80,0.0136458
81,0.014609
82,0.0148467
83,0.0151992
84,0.0166955
85,0.0170107
86,0.0172905
87,0.0185345
88,0.0195356
89,0.0204504
90,0.021047
91,0.021559
92,0.0226137
93,0.0233123
94,0.0250872
95,0.0266238
96,0.0275721
97,0.0282835
98,0.0293873
99,0.0308003
100,0.031601
101,0.0332599
102,0.034389
103,0.0343859
104,0.0354254
105,0.0379295
106,0.0387643
107,0.0411338
108,0.0419676
109,0.0429112
110,0.0466975
111,0.0475434
112,0.0491412
113,0.0493519
114,0.050727
115,0.0531984
116,0.0541022
117,0.0569841
118,0.0592599
119,0.0621806
120,0.0627566
121,0.0636332
122,0.0652441
123,0.0693245
124,0.0696762
125,0.073976
126,0.0750743
127,0.0785024
128,0.193075
129,0.0837608
130,0.0833091
131,0.0873469
132,0.0922827
133,0.0931892
134,0.093629
135,0.0960237
136,0.102462
137,0.107265
138,0.105641
139,0.108397
140,0.112868
141,0.116056
142,0.119701
143,0.122671
144,0.123913
145,0.126189
146,0.1313
147,0.134597
148,0.138447
149,0.143129
150,0.147353
