size,time_seconds
2,2.4e-07
3,8e-08
4,7e-08
5,8e-08
6,8e-08
7,1e-07
8,9e-08
9,7e-08
10,1.4e-07
11,7e-08
12,2.1e-07
13,1.2e-07
14,1.1e-07
15,2e-07
16,1.4e-07
17,1.5e-07
18,2.8e-07
19,2.7e-07
20,4.2e-07
21,2e-07
22,3.8e-07
23,3.9e-07
24,4.1e-07
25,4e-07
26,2.9e-07
27,6.6e-07
28,4.7e-07
29,3.6e-07
30,1.03e-06
31,3.9e-07
32,6e-07
33,6e-07
34,6.3e-07
35,8.7e-07
36,1.01e-06
37,7.6e-07
38,1.01e-06
39,7.6e-07
40,1.18e-06
41,8.5e-07
42,8.4e-07
43,9e-07
44,9.3e-07
45,1.22e-06
46,1.29e-06
47,1.1e-06
48,1.07e-06
49,1.04e-06
50,1.42e-06
51,1.19e-06
52,1.4e-06
53,1.26e-06
54,1.82e-06
55,1.31e-06
56,1.53e-06
57,1.63e-06
58,1.58e-06
59,1.55e-06
60,1.88e-06
61,1.68e-06
62,1.72e-06
63,1.92e-06
64,2.05e-06
65,5.24e-06
66,2.82e-06
67,2.849e-06
68,3.07e-06
69,7.63e-06
70,3.05e-06
71,3.21e-06
72,3.31e-06
73,4.27e-06
74,3.27e-06
75,3.31e-06
76,3.37e-06
77,3.42e-06
78,3.5e-06
79,5.04e-06
80,3.65e-06
81,3.72e-06
82,3.81e-06
83,4.769e-06
84,3.92e-06
85,3.97e-06
86,5.17e-06
87,4.14e-06
88,4.2e-06
89,5.18e-06
90,4.31e-06
91,5.31e-06
92,5.26e-06
93,4.57e-06
94,8.3e-06
95,4.72e-06
96,5.73e-06
97,4.78e-06
98,5.77e-06
99,5.04e-06
100,6.11e-06
101,6.22e-06
102,5.33e-06
103,6.48e-06
104,5.46e-06
105,6.58e-06
106,6.52e-06
107,5.63e-06
108,6.73e-06
109,6.83e-06
110,5.93e-06
111,7.23e-06
112,7.16e-06
113,1.009e-05
114,6.34e-06
115,7.37e-06
116,7.48e-06
117,7.87e-06
118,7.72e-06
119,7.65e-06
120,6.97e-06
121,8.07e-06
122,8.35e-06
123,8.26e-06
124,9.52e-06
125,8.88e-06
126,1.05e-05
127,8.69e-06
128,8.76e-06
