size,time_seconds
2,1.1e-07
3,5e-08
4,2.2e-07
5,1.3e-07
6,9e-08
7,1e-07
8,1.2e-07
9,2.4e-07
10,2.3e-07
11,2.7e-07
12,2.9e-07
13,3.2e-07
14,3.6e-07
15,4.2e-07
16,4.8e-07
17,5.6e-07
18,5.9e-07
19,6.6e-07
20,7.2e-07
21,8.5e-07
22,8.7e-07
23,9.4e-07
24,1e-06
25,1.07e-06
26,1.16e-06
27,1.25e-06
28,1.39e-06
29,1.49e-06
30,5.4e-06
31,1.69e-06
32,2.01e-06
33,1.919e-06
34,2.02e-06
35,2.16e-06
36,2.28e-06
37,2.42e-06
38,2.56e-06
39,2.58e-06
40,2.82e-06
41,2.96e-06
42,3.11e-06
43,3.25e-06
44,3.4e-06
45,3.56e-06
46,3.71e-06
47,3.9e-06
48,3.79e-06
49,4.25e-06
50,4.9e-06
51,4.609e-06
52,4.78e-06
53,5.23e-06
54,5.19e-06
55,5.22e-06
56,5.68e-06
57,5.869e-06
58,6.21e-06
59,6.2e-06
60,6.5e-06
61,6.64e-06
62,6.63e-06
63,7.08e-06
64,7.42e-06
65,7.69e-06
66,7.32e-06
67,8.02e-06
68,8.35e-06
69,8.54e-06
70,8.4e-06
71,9.02e-06
72,9.29e-06
73,9.21e-06
74,9.809e-06
75,1.009e-05
76,1.034e-05
77,1.024e-05
78,1.087e-05
79,1.119e-05
80,1.18e-05
81,1.186e-05
82,1.213e-05
83,1.2319e-05
84,1.26e-05
85,1.305e-05
86,1.255e-05
87,1.36e-05
88,1.391e-05
89,1.38e-05
90,1.432e-05
91,1.506e-05
92,1.42e-05
93,1.547e-05
94,1.485e-05
95,1.6219e-05
96,1.54e-05
97,1.6809e-05
98,1.717e-05
99,2.2259e-05
100,1.796e-05
101,1.835e-05
102,1.867e-05
103,1.902e-05
104,1.935e-05
105,1.978e-05
106,2.0399e-05
107,2.052e-05
108,2.112e-05
109,2.138e-05
110,2.047e-05
111,2.209e-05
112,2.244e-05
113,2.226e-05
114,2.282e-05
115,2.3629e-05
116,2.404e-05
117,2.464e-05
118,2.4899e-05
119,2.529e-05
120,2.577e-05
121,2.494e-05
122,2.6629e-05
123,2.579e-05
124,2.739e-05
125,3.099e-05
126,2.876e-05
127,2.886e-05
128,2.9139e-05
129,2.9729e-05
130,3.0629e-05
131,3.037e-05
132,3.125e-05
133,3.163e-05
134,3.207e-05
135,3.266e-05
136,3.306e-05
137,3.353e-05
138,3.201e-05
139,3.24e-05
140,3.5069e-05
141,3.5579e-05
142,3.6119e-05
143,3.441e-05
144,3.707e-05
145,3.764e-05
146,3.615e-05
147,3.6479e-05
148,3.918e-05
149,3.998e-05
150,3.9779e-05
151,4.002e-05
152,4.137e-05
153,3.9249e-05
154,4.252e-05
155,4.298e-05
156,4.743e-05
157,4.421e-05
158,4.479e-05
159,4.5249e-05
160,4.558e-05
161,4.6669e-05
162,4.6959e-05
163,4.476e-05
164,4.7749e-05
165,4.8719e-05
166,4.922e-05
167,4.817e-05
168,5.0539e-05
169,5.1269e-05
170,5.034e-05
171,5.246e-05
172,5.306e-05
173,5.167e-05
174,5.233e-05
175,5.277e-05
176,5.6749e-05
177,5.4149e-05
178,5.4549e-05
179,5.5259e-05
180,5.5939e-05
181,5.675e-05
182,5.711e-05
183,5.437e-05
184,5.8489e-05
185,5.9179e-05
186,5.86e-05
187,6.043e-05
188,6.2349e-05
189,6.1809e-05
190,6.258e-05
191,6.5389e-05
192,6.618e-05
193,6.6699e-05
194,6.762e-05
195,6.8709e-05
196,6.9389e-05
197,6.973e-05
198,7.0059e-05
199,7.0969e-05
200,7.217e-05
201,7.263e-05
202,7.3449e-05
203,7.1859e-05
204,7.4639e-05
205,7.5799e-05
206,7.6209e-05
207,7.7549e-05
208,7.4039e-05
209,7.5189e-05
210,7.6149e-05
211,7.7439e-05
212,7.7789e-05
213,7.8429e-05
214,7.7779e-05
215,7.5319e-05
216,8.4539e-05
217,8.147e-05
218,8.0629e-05
219,8.0079e-05
220,8.345e-05
221,8.5069e-05
222,8.6119e-05
223,8.6399e-05
224,8.7189e-05
225,8.8019e-05
226,8.9009e-05
227,8.9549e-05
228,9.0419e-05
229,9.1539e-05
230,9.218e-05
231,9.5449e-05
232,9.7089e-05
233,9.8139e-05
234,9.9179e-05
235,9.9449e-05
236,0.000101299
237,9.8059e-05
238,9.8709e-05
239,9.9599e-05
240,9.5029e-05
241,0.000100779
242,0.00010245
243,0.000102959
244,0.000106799
245,0.000104929
246,0.000109739
247,0.000110079
248,0.000111039
249,0.000108289
250,0.000113399
251,0.000113749
252,0.000118209
253,0.000112459
254,0.000117319
255,0.000117169
256,0.000114179
257,0.000117619
258,0.000117639
259,0.000122309
260,0.000122439
261,0.000123369
262,0.000124409
263,0.000125499
264,0.000126779
265,0.000126938
266,0.000128079
267,0.000133369
268,0.000129699
269,0.000133359
270,0.000126889
271,0.000127649
272,0.000128439
273,0.000129409
274,0.000130988
275,0.000135659
276,0.000132749
277,0.000133869
278,0.000138239
279,0.000136399
280,0.000136918
281,0.000141539
282,0.000138769
283,0.000139809
284,0.000144739
285,0.000142079
286,0.000142989
287,0.000143829
288,0.000144648
289,0.000146638
290,0.000146859
291,0.000151369
292,0.000148968
293,0.000150049
294,0.000151418
295,0.000152139
296,0.000153109
297,0.000154079
298,0.000155138
299,0.000159679
300,0.000157009
301,0.000158438
302,0.000159448
303,0.000164239
304,0.000160849
305,0.000171869
306,0.000170178
307,0.000171658
308,0.000171849
309,0.000176768
310,0.000174038
311,0.000175609
312,0.000176698
313,0.000178348
314,0.000178679
315,0.000180108
316,0.000181848
317,0.000187489
318,0.000183399
319,0.000184289
320,0.000185648
321,0.000187498
322,0.000188378
323,0.000189008
324,0.000190548
325,0.000191509
326,0.000182649
327,0.000193588
328,0.000198888
329,0.000196789
330,0.000197558
331,0.000210118
332,0.000204348
333,0.000204478
334,0.000206128
335,0.000206908
336,0.000208428
337,0.000211618
338,0.000207009
339,0.000199208
340,0.000204419
341,0.000207188
