size,time_seconds
2,3.2e-07
3,9e-08
4,1e-07
5,7e-08
6,1.1e-07
7,7e-08
8,9e-08
9,9e-08
10,1.6e-07
11,1.5e-07
12,2.5e-07
13,1e-07
14,1.1e-07
15,1.1e-07
16,1e-07
17,1.9e-07
18,1.3e-07
19,1.5e-07
20,3.3e-07
21,1.7e-07
22,2.5e-07
23,3.4e-07
24,2.2e-07
25,3.8e-07
26,3.7e-07
27,4.3e-07
28,5.8e-07
29,2.7e-07
30,6e-07
31,7.1e-07
32,4.9e-07
33,3.8e-07
34,4.4e-07
35,5e-07
36,4.8e-07
37,4.3e-07
38,5.7e-07
39,6.5e-07
40,5.8e-07
41,6.6e-07
42,8.7e-07
43,9.3e-07
44,9.6e-07
45,8.1e-07
46,7.9e-07
47,9.4e-07
48,8.7e-07
49,9.5e-07
50,9.3e-07
51,9e-07
52,1.31e-06
53,1.1e-06
54,1.36e-06
55,1.06e-06
56,1.31e-06
57,1.36e-06
58,1.27e-06
59,1.33e-06
60,1.73e-06
61,1.53e-06
62,1.42e-06
63,1.45e-06
64,1.55e-06
65,1.62e-06
66,2.03e-06
67,1.79e-06
68,2.06e-06
69,1.78e-06
70,1.9e-06
71,1.96e-06
72,2.07e-06
73,2e-06
74,2.32e-06
75,2.11e-06
76,2.14e-06
77,2.15e-06
78,2.41e-06
79,2.45e-06
80,2.8e-06
81,2.51e-06
82,2.48e-06
83,2.59e-06
84,2.62e-06
85,2.58e-06
86,2.8e-06
87,3.14e-06
88,2.91e-06
89,3.02e-06
90,2.87e-06
91,3.18e-06
92,3.25e-06
93,3.23e-06
94,3.22e-06
95,3.47e-06
96,3.77e-06
97,3.48e-06
98,3.65e-06
99,3.67e-06
100,3.74e-06
101,3.8e-06
102,3.81e-06
103,3.91e-06
104,4.18e-06
105,4.07e-06
106,4.32e-06
107,4.26e-06
108,4.24e-06
109,4.32e-06
110,4.39e-06
111,4.62e-06
112,4.55e-06
113,4.7e-06
114,4.68e-06
115,4.85e-06
116,4.76e-06
117,5.2e-06
118,5.09e-06
119,5.13e-06
120,5.29e-06
121,5.76e-06
122,5.55e-06
123,6.04e-06
124,5.84e-06
125,6.18e-06
126,7.46e-06
127,5.75e-06
128,6.08e-06
129,5.97e-06
130,7.4e-06
131,6.44e-06
132,7.01e-06
133,6.36e-06
134,6.49e-06
135,6.45e-06
136,7.17e-06
137,6.97e-06
138,6.97e-06
139,7.21e-06
140,6.73e-06
141,7.2e-06
142,6.969e-06
143,6.99e-06
144,7.23e-06
145,7.21e-06
146,7.739e-06
147,7.44e-06
148,7.48e-06
149,7.6e-06
150,8.03e-06
151,8.6e-06
152,8.4e-06
153,8.08e-06
154,1.6959e-05
155,9.29e-06
156,8.79e-06
157,9.14e-06
158,9.02e-06
159,9.61e-06
160,9.389e-06
161,9.18e-06
162,9.58e-06
163,9.79e-06
164,1.005e-05
165,9.86e-06
166,1.061e-05
167,1.0359e-05
168,1.033e-05
169,1.064e-05
170,1.049e-05
171,1.066e-05
172,1.124e-05
173,1.095e-05
174,1.396e-05
175,1.154e-05
176,1.14e-05
177,1.1589e-05
178,1.179e-05
179,1.188e-05
180,1.248e-05
181,1.243e-05
182,1.264e-05
183,1.244e-05
184,1.268e-05
185,1.342e-05
186,1.2899e-05
187,1.344e-05
188,1.465e-05
189,1.335e-05
190,1.447e-05
191,1.407e-05
192,1.401e-05
193,1.401e-05
194,1.532e-05
195,1.4499e-05
196,1.626e-05
197,1.454e-05
198,1.556e-05
199,1.534e-05
200,1.565e-05
201,1.5829e-05
202,1.555e-05
203,1.59e-05
204,1.97e-05
205,1.688e-05
206,1.649e-05
207,1.698e-05
208,1.687e-05
209,1.72e-05
210,1.761e-05
211,1.7469e-05
212,1.778e-05
213,1.812e-05
214,1.814e-05
215,1.819e-05
216,1.878e-05
217,1.8139e-05
218,1.8229e-05
219,1.911e-05
220,1.9629e-05
221,1.969e-05
222,1.947e-05
223,2.038e-05
224,2.038e-05
225,2.5589e-05
226,2.124e-05
227,2.084e-05
