size,time_seconds
2,6.8e-07
3,3.7e-07
4,4.5e-07
5,6.7e-07
6,9.4e-07
7,9.8e-07
8,1.11e-06
9,1.46e-06
10,1.76e-06
11,2.14e-06
12,2.71e-06
13,3.19e-06
14,3.59e-06
15,4.18e-06
16,5.01e-06
17,5.62e-06
18,6.12e-06
19,6.81e-06
20,7.59e-06
21,8.97e-06
22,9.92e-06
23,1.076e-05
24,1.212e-05
25,1.341e-05
26,1.463e-05
27,1.628e-05
28,1.7499e-05
29,1.918e-05
30,2.07e-05
31,2.26e-05
32,2.477e-05
33,2.639e-05
34,2.876e-05
35,3.149e-05
36,3.326e-05
37,3.5729e-05
38,3.856e-05
39,4.156e-05
40,4.4619e-05
41,5.25e-05
42,5.006e-05
43,5.3299e-05
44,5.707e-05
45,6.0599e-05
46,6.406e-05
47,6.8249e-05
48,7.18e-05
49,7.5859e-05
50,8.048e-05
51,8.5389e-05
52,8.9639e-05
53,9.884e-05
54,9.966e-05
55,0.000104749
56,0.000110259
57,0.000115259
58,0.000122149
59,0.000127439
60,0.000133749
61,0.000143309
62,0.000145979
63,0.000153539
64,0.000160089
65,0.000167009
66,0.000177248
67,0.000181199
68,0.000189039
69,0.000196918
70,0.000205249
71,0.000217218
72,0.000222429
73,0.000231349
74,0.000239638
75,0.000254338
76,0.000258938
77,0.000269708
78,0.000302058
79,0.000289998
80,0.000298718
81,0.000316188
82,0.000322267
83,0.000333598
84,0.000349217
85,0.000359258
86,0.000370307
87,0.000383877
88,0.000393348
89,0.000412158
90,0.000421578
91,0.000438507
92,0.000449177
93,0.000467857
94,0.000478227
95,0.000496657
96,0.000508156
97,0.000524257
98,0.000518447
99,0.000544486
100,0.000555976
101,0.000569906
102,0.000587586
103,0.000607807
104,0.000646006
105,0.000669906
106,0.000682675
107,0.000701655
108,0.000719485
109,0.000742875
110,0.000764056
111,0.000784365
112,0.000802394
113,0.000823644
114,0.000845265
115,0.000854154
116,0.000856664
117,0.000882524
118,0.000901024
119,0.000934494
120,0.000950743
121,0.000999093
122,0.00101991
123,0.00105608
124,0.00109078
125,0.00112047
126,0.00110604
127,0.00113655
128,0.00120351
129,0.0012264
130,0.00120976
131,0.00124358
132,0.00126549
133,0.0012958
134,0.00134476
135,0.00139559
136,0.00138339
137,0.00141193
138,0.00146968
139,0.00152728
140,0.00155914
141,0.00153979
142,0.00160775
143,0.00160356
144,0.00163835
145,0.00173811
146,0.00176412
147,0.00180224
148,0.00183571
149,0.00188087
150,0.00191436
151,0.00192907
152,0.00197788
153,0.00196723
154,0.00199753
155,0.00216114
156,0.00218401
157,0.00222646
158,0.002275
159,0.00232471
160,0.00235442
161,0.00240616
162,0.00242371
163,0.0025504
164,0.00264392
165,0.00260939
166,0.00260182
167,0.00265041
168,0.00268822
169,0.00274347
170,0.0027847
171,0.00285721
172,0.00287386
173,0.00293421
174,0.0029839
175,0.00303754
176,0.00307824
177,0.00314907
178,0.00319011
179,0.00325254
180,0.00329679
181,0.00336503
182,0.00342584
183,0.00348042
184,0.0035238
185,0.00358939
186,0.00363551
187,0.00370647
188,0.00375501
189,0.00378969
190,0.00387814
191,0.00395157
192,0.00400511
193,0.00407581
194,0.00413591
195,0.00420312
196,0.00426419
197,0.0042559
198,0.00434043
199,0.00447145
200,0.004527
201,0.00457498
202,0.00466513
203,0.00473136
204,0.00475385
205,0.00483283
206,0.00482465
207,0.00497771
208,0.00518031
209,0.00523857
210,0.00529583
211,0.00535914
212,0.0053993
213,0.00549831
214,0.00556686
215,0.00564876
216,0.00573953
217,0.00580622
218,0.0059007
219,0.00596253
220,0.00585249
221,0.0061298
222,0.00619216
223,0.00625964
224,0.00637526
225,0.00645931
226,0.00636857
227,0.00639116
228,0.00647994
229,0.00658641
230,0.00666803
231,0.00677765
232,0.00690797
233,0.0069533
234,0.00719198
235,0.00716978
236,0.0072949
237,0.00733709
238,0.00742287
239,0.00754093
240,0.00756933
241,0.00773247
242,0.00777048
243,0.00803865
244,0.00812882
245,0.00831583
246,0.00831939
247,0.00834073
248,0.00833341
249,0.00852527
250,0.00854317
251,0.00873576
252,0.00882673
253,0.00892025
254,0.00903925
255,0.00916326
256,0.00937211
257,0.00930746
258,0.00944668
259,0.00956017
260,0.00975087
261,0.00980308
262,0.00983368
263,0.0101285
264,0.0101045
265,0.0102585
266,0.0103466
267,0.0104275
268,0.0105807
269,0.0107559
270,0.0107975
271,0.0109326
272,0.0111138
273,0.0112433
274,0.0112485
275,0.0124844
276,0.0123848
277,0.0124988
278,0.011753
279,0.0120387
280,0.0120967
281,0.0123026
282,0.0124281
283,0.0124861
284,0.0131014
285,0.0131048
286,0.013029
287,0.013162
288,0.0130994
289,0.0133818
290,0.0133756
291,0.0135628
292,0.0138071
293,0.0140442
294,0.0143725
295,0.0143902
296,0.014385
297,0.0145003
298,0.0146018
299,0.0147905
300,0.0148965
