size,time_seconds
2,1.44e-06
3,5.6e-07
4,5.6e-07
5,6.7e-07
6,7.4e-07
7,8e-07
8,9.4e-07
9,8.7e-07
10,1.02e-06
11,1.65e-06
12,2.18e-06
13,1.55e-06
14,1.7e-06
15,1.81e-06
16,2.15e-06
17,2.26e-06
18,2.33e-06
19,2.6e-06
20,2.88e-06
21,3.12e-06
22,3.54e-06
23,3.84e-06
24,4.02e-06
25,5.23e-06
26,5.04e-06
27,5.09e-06
28,5.47e-06
29,5.689e-06
30,5.74e-06
31,6.28e-06
32,6.57e-06
33,6.86e-06
34,7.46e-06
35,7.77e-06
36,7.93e-06
37,8.32e-06
38,8.9e-06
39,9.749e-06
40,9.94e-06
41,1.058e-05
42,1.085e-05
43,1.151e-05
44,1.209e-05
45,1.586e-05
46,1.3589e-05
47,1.38e-05
48,1.424e-05
49,1.49e-05
50,1.589e-05
51,1.637e-05
52,1.689e-05
53,1.785e-05
54,1.83e-05
55,1.989e-05
56,2.0219e-05
57,2.098e-05
58,2.181e-05
59,2.257e-05
60,2.3389e-05
61,2.469e-05
62,2.502e-05
63,2.613e-05
64,2.6959e-05
65,2.846e-05
66,2.866e-05
67,3.0109e-05
68,3.037e-05
69,3.215e-05
70,3.2839e-05
71,3.86e-05
72,3.525e-05
73,3.68e-05
74,3.711e-05
75,3.8749e-05
76,4.004e-05
77,4.1329e-05
78,4.205e-05
79,4.44e-05
80,4.461e-05
81,4.687e-05
82,4.783e-05
83,4.957e-05
84,5.045e-05
85,5.5979e-05
86,5.321e-05
87,5.5729e-05
88,5.56e-05
89,5.8579e-05
90,5.936e-05
91,6.15e-05
92,6.1919e-05
93,6.473e-05
94,6.582e-05
95,7.1909e-05
96,6.9409e-05
97,7.238e-05
98,7.39e-05
99,7.5439e-05
100,7.5859e-05
101,7.9369e-05
102,8.023e-05
103,8.341e-05
104,8.39e-05
105,8.6919e-05
106,8.7579e-05
107,9.0899e-05
108,9.1369e-05
109,9.5909e-05
110,9.5709e-05
111,0.000101269
112,0.000100749
113,0.000106069
114,0.000104419
115,0.000109039
116,0.000108989
117,0.000118449
118,0.00011375
119,0.000119809
120,0.000125719
121,0.000123889
122,0.000127609
123,0.000128099
124,0.000129319
125,0.000134789
126,0.000136209
127,0.000142929
128,0.000151109
129,0.000143599
130,0.000144949
131,0.000150159
132,0.000150839
133,0.000155679
134,0.000155469
135,0.000162599
136,0.000161419
137,0.000166149
138,0.000166559
139,0.000178048
140,0.000172659
141,0.000179939
142,0.000179039
143,0.000188839
144,0.000184989
145,0.000192219
146,0.000196469
147,0.000200219
148,0.000198229
149,0.000210339
150,0.000205898
151,0.000213529
152,0.000215389
153,0.000220239
154,0.000219908
155,0.000231089
156,0.000225698
157,0.000235968
158,0.000235178
159,0.000245889
160,0.000245618
161,0.000253298
162,0.000250999
163,0.000258498
164,0.000257228
165,0.000271538
166,0.000265509
167,0.000278839
168,0.000272649
169,0.000284138
170,0.000279878
171,0.000303408
172,0.000290678
173,0.000302278
174,0.000300138
175,0.000308918
176,0.000306378
177,0.000317988
178,0.000315658
179,0.000327508
180,0.000325298
181,0.000344017
182,0.000334068
183,0.000353758
184,0.000341928
185,0.000360187
186,0.000353458
187,0.000368457
188,0.000365047
189,0.000376927
190,0.000377737
191,0.000390067
192,0.000395447
193,0.000402267
194,0.000393628
195,0.000405327
196,0.000409337
197,0.000424687
198,0.000404537
199,0.000421967
200,0.000411467
201,0.000458477
202,0.000443738
203,0.000456437
204,0.000446627
205,0.000482857
206,0.000467547
207,0.000465967
208,0.000453427
209,0.000469857
210,0.000483387
211,0.000505817
212,0.000502136
213,0.000513687
214,0.000494356
215,0.000507877
216,0.000520447
217,0.000542236
218,0.000540316
219,0.000537146
220,0.000545407
221,0.000567657
222,0.000566607
223,0.000580437
224,0.000581087
225,0.000598646
226,0.000587196
227,0.000605646
228,0.000607266
229,0.000628456
230,0.000617796
231,0.000638736
232,0.000631946
233,0.000657206
234,0.000642165
235,0.000664305
236,0.000656905
237,0.000687885
238,0.000678855
239,0.000704295
240,0.000770205
241,0.000775145
242,0.000816645
243,0.000791535
244,0.000715345
245,0.000748665
246,0.000742236
247,0.000761625
248,0.000751295
249,0.000771515
250,0.000767845
251,0.000794114
252,0.000820925
253,0.000993203
254,0.00101524
255,0.000856115
256,0.00101954
257,0.000860124
258,0.000845664
259,0.000874704
260,0.000847005
261,0.000883085
262,0.000871355
263,0.000903015
264,0.000899464
265,0.000915454
266,0.000905034
267,0.000932464
268,0.000916734
269,0.000955284
270,0.000937874
271,0.000973383
272,0.000950954
273,0.000985083
274,0.000996133
275,0.00102098
276,0.000989483
277,0.00104454
278,0.00102228
279,0.00105254
280,0.0010329
281,0.0010645
282,0.00105198
283,0.00109904
284,0.00106439
285,0.00111965
286,0.00109941
287,0.00113454
288,0.00111797
289,0.00115143
290,0.00113069
291,0.00120556
292,0.00113787
293,0.00122893
294,0.00118598
295,0.00123434
296,0.00119168
297,0.0012441
298,0.00122645
299,0.00126605
300,0.00127882
