size,time_seconds
2,0.0134913
3,0.0179781
4,0.018007
5,0.0179812
6,0.0180083
7,0.017989
8,0.0150271
9,0.0149689
10,0.0169856
11,0.0139965
12,0.0179947
13,0.0170441
14,0.00596542
15,2.134e-05
16,1.796e-05
17,2.252e-05
18,1.993e-05
19,2.064e-05
20,2.326e-05
21,2.474e-05
22,2.6e-05
23,2.988e-05
24,3.0859e-05
25,3.302e-05
26,4.107e-05
27,4.6239e-05
28,4.799e-05
29,4.647e-05
30,4.9429e-05
31,6.183e-05
32,6.6819e-05
33,6.179e-05
34,6.6449e-05
35,7.065e-05
36,7.8329e-05
37,7.98e-05
38,8.6409e-05
39,9.134e-05
40,0.000109879
41,0.000104119
42,0.000110749
43,0.000116599
44,0.000138459
45,0.000710176
46,0.000605396
47,0.000989283
48,0.000624286
49,0.000924614
50,0.000670866
51,0.000941553
52,0.000605846
53,0.000935224
54,0.000587776
55,0.000946114
56,0.000624276
57,0.000925324
58,0.000619206
59,0.000722046
60,0.00102326
61,0.000960144
62,0.0010117
63,0.000369267
64,0.000355178
65,0.000425977
66,0.000440007
67,0.000406617
68,0.000465797
69,0.000433767
70,0.000841874
71,0.0015714
72,0.00157066
73,0.0132294
74,0.0199383
75,0.00656539
76,0.000559946
77,0.000573287
78,0.000573497
79,0.000612366
80,0.0194976
81,0.00112828
82,0.00398416
83,0.000645266
84,0.0145138
85,0.0179508
86,0.0169122
87,0.00603271
88,0.00724551
89,0.00275032
90,0.00581983
91,0.00273008
92,0.00302929
93,0.00275792
94,0.00280722
95,0.00273755
96,0.00280047
97,0.00284019
98,0.00278138
99,0.00274601
100,0.00322235
101,0.00277907
102,0.00285359
103,0.00286349
104,0.00281668
105,0.00273663
106,0.00283458
107,0.00276949
108,0.00286885
109,0.00286103
110,0.00277612
111,0.00282498
112,0.00287186
113,0.00282061
114,0.00275663
115,0.0028588
116,0.00280972
117,0.00280935
118,0.0031339
119,0.00276418
120,0.00293137
121,0.00289701
122,0.00278066
123,0.00294115
124,0.00293695
125,0.00294045
126,0.00283011
127,0.00285539
128,0.00274078
129,0.00193002
130,0.00246803
131,0.00243388
132,0.00219235
133,0.00210766
134,0.0018892
135,0.00223159
136,0.0023094
137,0.00229875
138,0.00257037
139,0.00200869
140,0.00249007
141,0.00212663
142,0.00313717
143,0.00213406
144,0.00298086
145,0.00310538
146,0.0026752
147,0.00259955
148,0.00286792
149,0.00286315
150,0.00241369
151,0.0026861
152,0.00339505
153,0.00344957
154,0.00349039
155,0.00294292
156,0.00350174
157,0.0043348
158,0.00350338
159,0.00552283
160,0.004273
161,0.0029315
162,0.00306367
163,0.00420634
164,0.00552461
165,0.00533429
166,0.00680474
167,0.00378703
168,0.0046696
169,0.00469227
170,0.00434419
171,0.0202223
172,0.0211657
173,0.0197821
174,0.0207464
175,0.0211046
176,0.0215995
177,0.0193673
178,0.0192897
179,0.0194487
180,0.0193023
181,0.0193754
182,0.0232088
183,0.0206762
184,0.0197825
185,0.0258479
186,0.0217045
187,0.0197812
188,0.0197339
189,0.0205269
190,0.0198199
191,0.019742
192,0.0201369
193,0.0277508
194,0.0293981
195,0.0197965
196,0.019784
197,0.0194731
198,0.0361466
199,0.02159
200,0.0201275
201,0.0231613
202,0.0199856
203,0.0204281
204,0.019631
205,0.0200413
206,0.0204819
207,0.0196392
208,0.0201338
209,0.020285
210,0.020352
211,0.0199211
212,0.0198219
213,0.0200821
214,0.0202967
215,0.0204123
216,0.0200777
217,0.0200477
218,0.0200738
219,0.0206246
220,0.0223996
221,0.0195924
222,0.0197352
223,0.019918
224,0.0199018
225,0.0197947
226,0.020852
227,0.0215396
228,0.0201762
229,0.0201847
230,0.0216309
231,0.0217558
232,0.0194332
233,0.0194683
234,0.0196204
235,0.0197156
236,0.0198772
237,0.0197144
238,0.0193395
239,0.0198689
240,0.0200757
241,0.0224781
242,0.01983
243,0.0194479
244,0.0197071
245,0.0198561
246,0.0195826
247,0.0202875
248,0.0197519
249,0.0194968
250,0.0195779
251,0.0203942
252,0.021689
253,0.0196744
254,0.0198653
255,0.021108
256,0.0190543
257,0.0109168
258,0.0104778
259,0.00992069
260,0.011374
261,0.0107006
262,0.00864592
263,0.0087881
264,0.0111646
265,0.0111965
266,0.0110157
267,0.0101806
268,0.0119336
269,0.0184517
270,0.0203931
271,0.0193101
272,0.0196345
273,0.0204385
274,0.0211225
275,0.0209417
276,0.021181
277,0.0165405
278,0.0196443
279,0.020935
280,0.0234602
281,0.0176107
282,0.0140432
283,0.0193741
284,0.0260345
285,0.0204971
286,0.0224097
287,0.020465
288,0.0243779
289,0.0168432
290,0.0195512
291,0.0220329
292,0.0230243
293,0.0211096
294,0.0216231
295,0.0248443
296,0.0178091
297,0.0189578
298,0.0214621
299,0.0192175
300,0.0182604
