size,time_seconds
2,2e-06
3,9.8e-07
4,1.09e-06
5,1.18e-06
6,1.28e-06
7,1.47e-06
8,2.01e-06
9,2.25e-06
10,2.95e-06
11,3.04e-06
12,4.08e-06
13,4.27e-06
14,5.55e-06
15,5.97e-06
16,7.02e-06
17,8.16e-06
18,9.23e-06
19,1.063e-05
20,1.191e-05
21,1.34e-05
22,1.496e-05
23,1.707e-05
24,1.9e-05
25,2.122e-05
26,2.319e-05
27,2.5219e-05
28,2.8e-05
29,3.079e-05
30,3.406e-05
31,3.7079e-05
32,4.007e-05
33,4.385e-05
34,4.7729e-05
35,5.181e-05
36,6.19e-05
37,6.0409e-05
38,6.485e-05
39,6.9539e-05
40,7.474e-05
41,7.9939e-05
42,8.5659e-05
43,9.177e-05
44,9.7929e-05
45,0.000105349
46,0.00011151
47,0.0001236
48,0.000125719
49,0.000134199
50,0.000141839
51,0.000150709
52,0.000158729
53,0.000171748
54,0.000176969
55,0.000186319
56,0.000196788
57,0.000207869
58,0.000227078
59,0.000230229
60,0.000242328
61,0.000253938
62,0.000270148
63,0.000282818
64,0.000297038
65,0.000312378
66,0.000322078
67,0.000338098
68,0.000358968
69,0.000367127
70,0.000389568
71,0.000398778
72,0.000415357
73,0.000439737
74,0.000449727
75,0.000472946
76,0.000488367
77,0.000512916
78,0.000528427
79,0.000554576
80,0.000574926
81,0.000593316
82,0.000619446
83,0.000640716
84,0.000657426
85,0.000687436
86,0.000707325
87,0.000736005
88,0.000754086
89,0.000789475
90,0.000808575
91,0.000835625
92,0.000865234
93,0.000894355
94,0.000923494
95,0.000950204
96,0.000986394
97,0.00101073
98,0.00104142
99,0.00107264
100,0.00110522
101,0.00114091
102,0.00117805
103,0.00120933
104,0.00124507
105,0.00128225
106,0.00131519
107,0.0013534
108,0.00139339
109,0.00143122
110,0.00147078
111,0.00150611
112,0.00155263
113,0.00159464
114,0.00163356
115,0.00168215
116,0.00171811
117,0.00176423
118,0.00181259
119,0.00186816
120,0.00194051
121,0.001955
122,0.00200026
123,0.00204528
124,0.00210632
125,0.00214894
126,0.00220299
127,0.00224946
128,0.00368079
129,0.00235446
130,0.00241535
131,0.00246996
132,0.00252068
133,0.00258772
134,0.00264726
135,0.00270421
136,0.00279286
137,0.00284322
138,0.00288895
139,0.00294995
140,0.0030079
141,0.00307332
142,0.00313609
143,0.00320335
144,0.0032772
145,0.00333783
146,0.0034082
147,0.00347886
148,0.00354677
149,0.00362543
150,0.00369463
151,0.00377426
152,0.00384927
153,0.0039221
154,0.0039979
155,0.00402094
156,0.0041224
157,0.00417567
158,0.00448224
159,0.00461159
160,0.00452591
161,0.0043884
162,0.00446797
163,0.00457275
164,0.00475858
165,0.00479566
166,0.00481123
167,0.00500575
168,0.00499541
169,0.00507221
170,0.0052667
171,0.00537582
172,0.00535298
173,0.00561786
174,0.00560961
175,0.00564236
176,0.00589543
177,0.00606974
178,0.00617197
179,0.00627464
180,0.00637073
181,0.00651996
182,0.00662364
183,0.00673337
184,0.00694267
185,0.00692302
186,0.00703888
187,0.00702766
188,0.00718517
189,0.00715099
190,0.00733769
191,0.00742786
192,0.00809061
193,0.00755896
194,0.00768176
195,0.00817123
196,0.00813304
197,0.00829131
198,0.00821023
199,0.00851719
200,0.00851741
201,0.00853009
202,0.00888967
203,0.00895872
204,0.00917271
205,0.00932749
206,0.00952944
207,0.00959967
208,0.00993897
209,0.00986563
210,0.0097829
211,0.00997778
212,0.0100333
213,0.0101796
214,0.0103258
215,0.0106595
216,0.010767
217,0.0109459
218,0.0108748
219,0.011055
220,0.0111604
221,0.0115535
222,0.0115347
223,0.0117976
224,0.0122453
225,0.0121325
226,0.012148
227,0.0124732
228,0.0124824
229,0.0126527
230,0.0128274
231,0.0130978
232,0.0131537
233,0.0134962
234,0.0136201
235,0.0136769
236,0.013817
237,0.0143724
238,0.014346
239,0.0145659
240,0.0149075
241,0.0152224
242,0.0152673
243,0.0152475
244,0.0154191
245,0.0158565
246,0.0158682
247,0.0162421
248,0.0161805
249,0.0163017
250,0.0164691
251,0.0166966
252,0.0168637
253,0.0171151
254,0.0175864
255,0.0175415
256,0.0594008
257,0.0180097
258,0.0181337
259,0.0184387
260,0.0185421
261,0.0187517
262,0.0189247
263,0.0193911
264,0.0194639
265,0.0197054
266,0.0199018
267,0.0201277
268,0.0202369
269,0.0205457
270,0.0207913
271,0.0211338
272,0.0215256
273,0.0217619
274,0.0217397
275,0.021943
276,0.0221741
277,0.0224143
278,0.0226187
279,0.022906
280,0.0233443
281,0.0234645
282,0.023593
283,0.0238572
284,0.0241607
285,0.0243272
286,0.0245234
287,0.024841
288,0.0260074
289,0.025447
290,0.0256393
291,0.0260096
292,0.0262079
293,0.0264905
294,0.0266956
295,0.0269941
296,0.0273824
297,0.0275469
298,0.0277999
299,0.0281043
300,0.0284442
