size,time_seconds
2,4.8e-07
3,1.1e-07
4,1.1e-07
5,1.1e-07
6,4e-08
7,4e-08
8,4e-08
9,1.5e-07
10,5e-08
11,2.8e-07
12,6e-08
13,1.5e-07
14,7e-08
15,1.3e-07
16,5e-08
17,9e-08
18,7e-08
19,8e-08
20,7e-08
21,8e-08
22,8e-08
23,9e-08
24,9e-08
25,9e-08
26,9e-08
27,1e-07
28,1e-07
29,1.1e-07
30,1.2e-07
31,1.9e-07
32,2.4e-07
33,1.3e-07
34,1.4e-07
35,3e-07
36,1.5e-07
37,1.7e-07
38,1.8e-07
39,1.8e-07
40,1.9e-07
41,1.9e-07
42,2e-07
43,2.4e-07
44,2.6e-07
45,4.8e-07
46,3e-07
47,2.9e-07
48,4.4e-07
49,3.4e-07
50,4.8e-07
51,5.3e-07
52,4.1e-07
53,4.2e-07
54,4.4e-07
55,6e-07
56,5.8e-07
57,9e-07
58,9.6e-07
59,8.8e-07
60,1.03e-06
61,9.3e-07
62,7.6e-07
63,6.5e-07
64,7.9e-07
65,6.6e-07
66,7.8e-07
67,7.3e-07
68,8.9e-07
69,7.5e-07
70,9.1e-07
71,8.1e-07
72,8.7e-07
73,1.01e-06
74,1.18e-06
75,1.02e-06
76,1.05e-06
77,1e-06
78,1.02e-06
79,1.1e-06
80,1.15e-06
81,1.42e-06
82,1.45e-06
83,1.25e-06
84,1.43e-06
85,1.3e-06
86,1.24e-06
87,1.42e-06
88,1.49e-06
89,1.24e-06
90,1.25e-06
91,1.67e-06
92,1.49e-06
93,4.97e-06
94,1.54e-06
95,1.48e-06
96,1.54e-06
97,1.56e-06
98,1.58e-06
99,1.85e-06
100,1.78e-06
101,1.75e-06
102,1.73e-06
103,1.81e-06
104,2.23e-06
105,1.9e-06
106,2.12e-06
107,1.97e-06
108,2.06e-06
109,1.98e-06
110,1.98e-06
111,2.16e-06
112,2.09e-06
113,2.1e-06
114,2.13e-06
115,2.36e-06
116,2.22e-06
117,2.25e-06
118,2.58e-06
119,2.34e-06
120,2.43e-06
121,2.35e-06
122,2.41e-06
123,2.5e-06
124,2.5e-06
125,2.61e-06
126,2.53e-06
127,2.62e-06
128,2.68e-06
129,2.81e-06
130,3.16e-06
131,2.94e-06
132,3.3e-06
133,3.58e-06
134,3.29e-06
135,3.34e-06
136,3.13e-06
137,3.69e-06
138,6.45e-06
139,3.53e-06
140,3.91e-06
141,3.51e-06
142,3.55e-06
143,3.85e-06
144,3.9e-06
145,4.02e-06
146,4.009e-06
147,3.83e-06
148,3.94e-06
149,4.56e-06
150,4e-06
151,3.869e-06
152,4.35e-06
153,4.27e-06
154,4.13e-06
155,4.5e-06
156,4.33e-06
157,7.23e-06
158,4.54e-06
159,5.29e-06
160,5.03e-06
161,4.58e-06
162,4.57e-06
163,4.56e-06
164,5.34e-06
165,4.86e-06
166,5.03e-06
167,5.739e-06
168,5.04e-06
169,5.39e-06
170,5.77e-06
171,5.46e-06
172,5.71e-06
173,5.56e-06
174,5.55e-06
175,5.63e-06
176,6.8e-06
177,5.89e-06
178,5.62e-06
179,5.949e-06
180,5.939e-06
181,6.85e-06
182,6.18e-06
183,6.01e-06
184,6.75e-06
185,6.08e-06
186,6.65e-06
187,6.08e-06
188,6.64e-06
189,6.28e-06
190,8.01e-06
191,6.43e-06
192,6.26e-06
193,6.17e-06
194,7.16e-06
195,6.58e-06
196,7.27e-06
197,6.62e-06
198,6.84e-06
199,7.05e-06
200,7.53e-06
201,7.75e-06
202,7.759e-06
203,7.07e-06
204,7.87e-06
205,7.81e-06
206,7.86e-06
207,7.959e-06
208,7.98e-06
209,7.29e-06
210,7.64e-06
211,7.34e-06
212,7.36e-06
213,7.65e-06
214,7.69e-06
215,7.55e-06
216,9.28e-06
217,8.72e-06
218,7.77e-06
219,8.39e-06
220,8.29e-06
221,8.59e-06
222,8.33e-06
223,1.05e-05
224,1.041e-05
225,8.829e-06
226,9.78e-06
227,8.919e-06
228,1.077e-05
229,9.649e-06
230,8.85e-06
231,1.204e-05
232,1.09e-05
233,1.191e-05
234,1.239e-05
235,1.229e-05
236,1.095e-05
237,1.241e-05
238,1.116e-05
239,1.165e-05
240,1.024e-05
241,1.222e-05
242,1.24e-05
243,1.151e-05
244,1.336e-05
245,1.048e-05
246,1.331e-05
247,1.178e-05
248,1.482e-05
249,1.231e-05
250,1.5869e-05
251,1.585e-05
252,1.63e-05
253,1.9039e-05
254,1.539e-05
255,2.021e-05
256,1.282e-05
257,1.3259e-05
258,1.389e-05
259,1.812e-05
260,1.921e-05
261,1.922e-05
262,1.787e-05
263,1.381e-05
264,2.056e-05
265,2.057e-05
266,1.9829e-05
267,1.902e-05
268,2.023e-05
269,2.202e-05
270,1.424e-05
271,2.0719e-05
272,2.28e-05
273,2.3409e-05
274,2.883e-05
275,2.466e-05
276,2.474e-05
277,2.609e-05
278,1.5589e-05
279,2.537e-05
280,2.596e-05
281,2.631e-05
282,1.6389e-05
283,2.522e-05
284,2.676e-05
285,1.854e-05
286,1.63e-05
287,1.816e-05
288,3.353e-05
289,1.748e-05
290,1.724e-05
291,2.815e-05
292,2.967e-05
293,3.3719e-05
294,3.788e-05
295,2.0749e-05
296,3.221e-05
297,2.1229e-05
298,3.285e-05
299,1.987e-05
300,3.2349e-05
301,2.16e-05
302,1.992e-05
303,2.0949e-05
304,3.5119e-05
305,2.138e-05
306,3.5479e-05
307,3.6059e-05
308,4.156e-05
309,3.781e-05
310,3.436e-05
311,1.9719e-05
312,1.8069e-05
313,1.769e-05
314,1.754e-05
315,1.747e-05
316,1.878e-05
317,1.7919e-05
318,1.77e-05
319,1.8259e-05
320,1.837e-05
321,1.89e-05
322,2.27e-05
323,1.917e-05
324,1.953e-05
325,1.994e-05
326,1.956e-05
327,1.945e-05
328,1.982e-05
329,2.007e-05
330,2.006e-05
331,2.033e-05
332,2.0309e-05
333,2.007e-05
334,1.967e-05
335,2.022e-05
336,2.046e-05
337,2.044e-05
338,2.028e-05
339,2.094e-05
340,2.0789e-05
341,2.113e-05
342,2.147e-05
343,2.136e-05
344,2.1309e-05
345,2.162e-05
346,2.092e-05
347,2.198e-05
348,2.111e-05
349,2.192e-05
350,2.167e-05
351,2.207e-05
352,2.295e-05
353,2.2679e-05
354,2.221e-05
355,2.321e-05
356,2.2249e-05
357,2.2119e-05
358,2.317e-05
359,2.268e-05
360,2.337e-05
361,2.294e-05
362,2.269e-05
363,2.2429e-05
364,2.252e-05
365,2.265e-05
366,2.2289e-05
367,2.366e-05
368,2.422e-05
369,2.348e-05
370,2.328e-05
371,2.39e-05
372,2.38e-05
373,2.4e-05
374,2.34e-05
375,2.3949e-05
376,2.44e-05
377,2.402e-05
378,2.4689e-05
379,3.03e-05
380,2.542e-05
381,2.452e-05
382,2.398e-05
383,2.457e-05
384,3.0309e-05
385,2.4719e-05
386,2.467e-05
387,2.584e-05
388,2.529e-05
389,2.516e-05
390,2.592e-05
391,2.537e-05
392,2.59e-05
393,2.5869e-05
394,2.5689e-05
395,2.669e-05
396,2.6669e-05
397,3.39e-05
398,2.69e-05
399,2.7019e-05
400,2.693e-05
401,2.833e-05
402,2.779e-05
403,2.771e-05
404,2.7529e-05
405,2.7589e-05
406,2.7219e-05
407,2.754e-05
408,2.7869e-05
409,2.814e-05
410,2.768e-05
411,2.878e-05
412,3.0939e-05
413,2.838e-05
414,2.8049e-05
415,2.9329e-05
416,2.884e-05
417,2.89e-05
418,2.9899e-05
419,2.961e-05
420,2.968e-05
421,2.945e-05
422,2.916e-05
423,3.082e-05
424,3.023e-05
425,3.1039e-05
426,2.9689e-05
427,3.059e-05
428,3.145e-05
429,3.2549e-05
430,3.067e-05
431,3.0989e-05
432,3.109e-05
433,3.144e-05
434,3.0759e-05
435,3.1939e-05
436,3.1529e-05
437,3.1859e-05
438,3.1299e-05
439,3.2269e-05
440,3.2519e-05
441,3.2229e-05
442,3.193e-05
443,3.248e-05
444,3.267e-05
445,3.274e-05
446,3.279e-05
447,3.3249e-05
448,3.441e-05
449,3.405e-05
450,3.3059e-05
451,3.3919e-05
452,3.435e-05
453,3.53e-05
