size,time_seconds
2,2.2e-07
3,1.2e-07
4,2.3e-07
5,1.1e-07
6,4e-08
7,4e-08
8,3e-08
9,1.4e-07
10,1.3e-07
11,1.4e-07
12,8e-08
13,7e-08
14,7e-08
15,7e-08
16,6e-08
17,1e-07
18,7e-08
19,8e-08
20,8e-08
21,2.3e-07
22,1.1e-07
23,1e-07
24,1.1e-07
25,1.3e-07
26,2.1e-07
27,1.4e-07
28,1.3e-07
29,1.5e-07
30,1.6e-07
31,2.4e-07
32,2.4e-07
33,1.9e-07
34,2e-07
35,4.6e-07
36,2.3e-07
37,2.5e-07
38,2.6e-07
39,4e-07
40,2.8e-07
41,3e-07
42,4.6e-07
43,3.1e-07
44,3.2e-07
45,5.5e-07
46,3.8e-07
47,3.7e-07
48,8.4e-07
49,4.3e-07
50,7.5e-07
51,6.1e-07
52,5e-07
53,7e-07
54,8.4e-07
55,1.11e-06
56,7.6e-07
57,7.8e-07
58,1.12e-06
59,6.9e-07
60,1.04e-06
61,7.6e-07
62,1e-06
63,8e-07
64,1.07e-06
65,8.6e-07
66,1.35e-06
67,9.6e-07
68,1.51e-06
69,9.9e-07
70,1.14e-06
71,1.17e-06
72,1.2e-06
73,1.26e-06
74,1.25e-06
75,1.33e-06
76,1.33e-06
77,1.39e-06
78,1.35e-06
79,1.5e-06
80,1.57e-06
81,1.45e-06
82,1.5e-06
83,1.74e-06
84,1.62e-06
85,1.78e-06
86,1.62e-06
87,1.66e-06
88,1.75e-06
89,1.739e-06
90,1.87e-06
91,1.86e-06
92,5.45e-06
93,2.81e-06
94,1.76e-06
95,2.86e-06
96,2.9e-06
97,7.89e-06
98,1.91e-06
99,3.01e-06
100,3.06e-06
101,3.15e-06
102,3.04e-06
103,2.18e-06
104,3.33e-06
105,3.27e-06
106,3.23e-06
107,3.4e-06
108,2.37e-06
109,3.81e-06
110,3.49e-06
111,3.78e-06
112,3.72e-06
113,3.84e-06
114,3.69e-06
115,3.72e-06
116,2.71e-06
117,4.08e-06
118,3.92e-06
119,4.2e-06
120,4.3e-06
121,4.27e-06
122,4.44e-06
123,4.3e-06
124,4.48e-06
125,4.31e-06
126,4.48e-06
127,4.36e-06
128,4.58e-06
129,4.58e-06
130,6.12e-06
131,5.13e-06
132,7.29e-06
133,5.49e-06
134,8.85e-06
135,5.36e-06
136,5.64e-06
137,5.62e-06
138,5.8e-06
139,5.61e-06
140,5.84e-06
141,6.95e-06
142,5.75e-06
143,5.87e-06
144,5.95e-06
145,5.91e-06
146,6.17e-06
147,6.06e-06
148,6.18e-06
149,7.28e-06
150,6.329e-06
151,6.31e-06
152,6.48e-06
153,7.77e-06
154,7.81e-06
155,6.43e-06
156,7.47e-06
157,7.63e-06
158,7.46e-06
159,1.149e-05
160,8.28e-06
161,7.26e-06
162,7.69e-06
163,8.15e-06
164,7.64e-06
165,7.51e-06
166,8.89e-06
167,7.81e-06
168,7.74e-06
169,7.899e-06
170,8.75e-06
171,8.23e-06
172,1.151e-05
173,9.53e-06
174,8.17e-06
175,8.53e-06
176,9.85e-06
177,8.7e-06
178,1.025e-05
179,8.87e-06
180,8.77e-06
181,1.017e-05
182,9.33e-06
183,1.2809e-05
184,1.086e-05
185,1.045e-05
186,9.8e-06
187,1.026e-05
188,1.069e-05
189,9.349e-06
190,1.053e-05
191,9.58e-06
192,1.137e-05
193,1.022e-05
194,1.179e-05
195,1.014e-05
196,1.237e-05
197,1.068e-05
198,1.1939e-05
199,2.226e-05
200,1.127e-05
201,1.351e-05
202,1.128e-05
203,1.7079e-05
204,1.158e-05
205,1.359e-05
206,1.473e-05
207,1.348e-05
208,1.374e-05
209,1.157e-05
210,1.5209e-05
211,1.397e-05
212,1.273e-05
213,1.532e-05
214,1.377e-05
215,1.2149e-05
216,1.484e-05
217,1.596e-05
218,1.505e-05
219,1.3299e-05
220,1.631e-05
221,1.657e-05
222,1.62e-05
223,1.6959e-05
224,1.95e-05
225,1.663e-05
226,1.748e-05
227,1.784e-05
228,1.961e-05
229,1.915e-05
230,1.973e-05
231,1.702e-05
232,1.9459e-05
233,1.9839e-05
234,1.963e-05
235,1.833e-05
236,2.345e-05
237,2.064e-05
238,2.173e-05
239,2.3959e-05
240,2.167e-05
241,2.228e-05
242,2.0609e-05
243,2.348e-05
244,2.086e-05
245,2.059e-05
246,2.2809e-05
247,2.225e-05
248,2.436e-05
249,2.4219e-05
250,2.638e-05
251,2.439e-05
252,2.793e-05
253,2.586e-05
254,2.806e-05
255,3.0389e-05
256,2.5259e-05
257,2.4529e-05
258,2.27e-05
259,2.527e-05
260,2.788e-05
261,2.976e-05
262,2.9219e-05
263,2.702e-05
264,2.883e-05
265,2.868e-05
266,3.1519e-05
267,2.88e-05
268,2.988e-05
269,3.026e-05
270,3.353e-05
271,3.04e-05
272,3.29e-05
273,3.2919e-05
274,3.3759e-05
275,2.927e-05
276,3.295e-05
277,3.215e-05
278,3.122e-05
279,3.246e-05
280,3.247e-05
281,3.234e-05
282,3.14e-05
283,3.3059e-05
284,3.3019e-05
285,3.543e-05
286,3.371e-05
287,3.4479e-05
288,3.453e-05
289,2.6859e-05
290,3.372e-05
291,3.573e-05
292,3.579e-05
293,3.3699e-05
294,3.609e-05
295,3.958e-05
296,3.38e-05
297,2.47e-05
298,2.681e-05
299,2.3329e-05
300,2.402e-05
301,2.48e-05
302,2.406e-05
303,2.41e-05
304,2.5e-05
305,2.4369e-05
306,2.7169e-05
307,2.4949e-05
308,2.477e-05
309,2.558e-05
310,2.831e-05
311,2.8089e-05
312,2.525e-05
313,2.569e-05
314,2.4999e-05
315,2.533e-05
316,2.7779e-05
317,2.633e-05
318,2.6349e-05
319,2.582e-05
320,2.866e-05
321,3.468e-05
322,2.791e-05
323,3.071e-05
324,3.631e-05
325,2.7599e-05
326,2.886e-05
327,3.011e-05
328,2.9099e-05
329,2.957e-05
330,2.9079e-05
331,3.52e-05
332,2.9729e-05
333,3.361e-05
334,3.201e-05
335,2.9739e-05
336,3.504e-05
337,2.952e-05
338,3.144e-05
339,3.112e-05
340,3.005e-05
341,3.1709e-05
342,3.1139e-05
343,3.0639e-05
344,3.25e-05
345,3.174e-05
346,3.3309e-05
347,3.132e-05
348,3.5299e-05
349,3.217e-05
350,3.1349e-05
351,3.379e-05
352,3.4799e-05
353,3.43e-05
354,3.165e-05
355,3.3359e-05
356,3.3729e-05
357,3.553e-05
358,3.474e-05
359,3.6519e-05
360,3.4359e-05
361,3.4419e-05
362,3.2609e-05
363,3.32e-05
364,3.3229e-05
365,3.4499e-05
366,3.467e-05
367,3.5699e-05
368,3.467e-05
369,3.45e-05
370,3.7479e-05
371,3.617e-05
372,3.6879e-05
373,3.4659e-05
374,3.447e-05
375,3.5699e-05
376,3.59e-05
377,3.548e-05
378,3.5879e-05
379,6.1429e-05
380,3.9949e-05
381,3.6169e-05
382,3.6469e-05
383,3.5869e-05
384,3.6789e-05
385,3.727e-05
386,3.727e-05
387,3.702e-05
388,3.7129e-05
389,3.729e-05
390,3.788e-05
391,4.0079e-05
392,3.8479e-05
393,3.929e-05
394,3.8e-05
395,3.9929e-05
396,3.895e-05
397,5.4339e-05
398,3.8759e-05
399,3.9259e-05
400,3.8979e-05
401,4.3409e-05
402,3.9419e-05
403,4.362e-05
404,4.0969e-05
405,4.09e-05
406,4.049e-05
407,4.019e-05
408,4.0969e-05
409,4.0509e-05
410,4.384e-05
411,4.091e-05
412,4.886e-05
413,4.115e-05
414,4.0989e-05
415,4.4309e-05
416,4.6099e-05
417,4.19e-05
418,4.172e-05
419,4.35e-05
420,4.49e-05
421,4.3039e-05
422,4.371e-05
423,4.3679e-05
424,4.351e-05
425,4.536e-05
426,4.4829e-05
427,4.4089e-05
428,4.403e-05
429,4.769e-05
430,4.423e-05
431,4.4889e-05
432,4.6099e-05
433,4.8129e-05
434,4.591e-05
435,4.567e-05
436,4.6739e-05
437,4.883e-05
438,4.5369e-05
439,4.957e-05
440,5.2129e-05
441,4.9629e-05
442,4.68e-05
443,4.6669e-05
444,5.4539e-05
445,4.7329e-05
446,4.9119e-05
447,4.7269e-05
448,5.1719e-05
449,4.79e-05
450,4.89e-05
451,4.8599e-05
452,4.9589e-05
453,4.875e-05
454,5.1149e-05
455,5.026e-05
456,6.243e-05
457,6.1419e-05
458,5.826e-05
459,5.545e-05
460,5.2689e-05
461,5.434e-05
462,5.349e-05
463,5.241e-05
464,5.381e-05
465,5.35e-05
466,5.5339e-05
467,5.7769e-05
468,5.3399e-05
469,5.4839e-05
470,5.7179e-05
471,5.401e-05
472,5.592e-05
473,5.612e-05
474,6.9809e-05
