size,time_seconds
2,7.6e-07
3,3.5e-07
4,1.3e-07
5,2.1e-07
6,1.2e-07
7,1.5e-07
8,1.3e-07
9,1.1e-07
10,3.8e-07
11,1.1e-07
12,1.9e-07
13,1.6e-07
14,1.4e-07
15,2.1e-07
16,1.6e-07
17,1.8e-07
18,1.8e-07
19,2.8e-07
20,2.1e-07
21,2e-07
22,3.2e-07
23,3.3e-07
24,4.2e-07
25,4.3e-07
26,6e-07
27,4.6e-07
28,4.8e-07
29,3.6e-07
30,5.4e-07
31,4e-07
32,5.5e-07
33,4.9e-07
34,8.2e-07
35,5.1e-07
36,6.2e-07
37,8.9e-07
38,6.8e-07
39,8e-07
40,1.21e-06
41,1.14e-06
42,1.1e-06
43,8.9e-07
44,9.6e-07
45,9.5e-07
46,1.02e-06
47,1.27e-06
48,1.37e-06
49,1.38e-06
50,1.42e-06
51,1.53e-06
52,1.65e-06
53,1.56e-06
54,1.43e-06
55,1.59e-06
56,1.84e-06
57,1.79e-06
58,1.64e-06
59,1.72e-06
60,1.76e-06
61,2.32e-06
62,1.94e-06
63,2.06e-06
64,2.74e-06
65,2.1e-06
66,2.27e-06
67,2.3e-06
68,2.54e-06
69,2.479e-06
70,2.55e-06
71,2.549e-06
72,2.84e-06
73,2.84e-06
74,2.81e-06
75,3.42e-06
76,2.94e-06
77,3.06e-06
78,3.19e-06
79,3.32e-06
80,3.27e-06
81,3.23e-06
82,3.78e-06
83,3.53e-06
84,3.59e-06
85,3.67e-06
86,3.62e-06
87,4.03e-06
88,4.08e-06
89,3.99e-06
90,3.98e-06
91,4.22e-06
92,4.31e-06
93,4.21e-06
94,4.64e-06
95,4.42e-06
96,4.55e-06
97,4.61e-06
98,4.74e-06
99,4.85e-06
100,4.87e-06
101,5.02e-06
102,5.11e-06
103,5.3e-06
104,5.54e-06
105,5.32e-06
106,5.52e-06
107,5.56e-06
108,5.659e-06
109,5.78e-06
110,6.29e-06
111,6.02e-06
112,6.13e-06
113,6.249e-06
114,6.67e-06
115,7.06e-06
116,6.58e-06
117,6.57e-06
118,6.87e-06
119,7.01e-06
120,7.22e-06
121,7.169e-06
122,7.65e-06
