size,time_seconds
2,6.2e-07
3,1.6e-07
4,2.2e-07
5,1.9e-07
6,2.9e-07
7,3.2e-07
8,6.1e-07
9,4.3e-07
10,5.4e-07
11,6e-07
12,7.1e-07
13,7.69e-07
14,8.7e-07
15,8.9e-07
16,9.8e-07
17,1.08e-06
18,1.31e-06
19,1.37e-06
20,1.53e-06
21,1.26e-06
22,1.54e-06
23,1.49e-06
24,2.03e-06
25,2.06e-06
26,2.26e-06
27,2.43e-06
28,2.59e-06
29,2.73e-06
30,3e-06
31,3.12e-06
32,3.37e-06
33,3.44e-06
34,3.65e-06
35,3.98e-06
36,4e-06
37,4.12e-06
38,4.83e-06
39,5.21e-06
40,5e-06
41,4.66e-06
42,4.88e-06
43,5.6e-06
44,6.18e-06
45,6.18e-06
46,6.41e-06
47,5.93e-06
48,6.29e-06
49,6.66e-06
50,7.22e-06
51,7e-06
52,7.23e-06
53,7.46e-06
54,7.859e-06
55,8.06e-06
56,8.81e-06
57,9.27e-06
58,9.61e-06
59,9.41e-06
60,1.012e-05
61,9.87e-06
62,1.068e-05
63,1.059e-05
64,1.1489e-05
65,1.185e-05
66,1.247e-05
67,1.324e-05
68,1.3479e-05
69,1.39e-05
70,1.432e-05
71,1.459e-05
72,1.465e-05
73,1.494e-05
74,1.589e-05
75,1.5519e-05
76,1.621e-05
77,1.711e-05
78,1.7639e-05
79,1.798e-05
80,1.787e-05
81,1.807e-05
82,1.925e-05
83,1.976e-05
84,2.01e-05
85,2.063e-05
86,2.121e-05
87,2.152e-05
88,2.1299e-05
89,2.194e-05
90,2.297e-05
91,2.353e-05
92,2.389e-05
93,2.823e-05
94,2.503e-05
95,2.559e-05
96,2.594e-05
97,2.646e-05
98,2.712e-05
99,2.79e-05
100,2.835e-05
101,2.885e-05
102,2.9319e-05
103,2.994e-05
104,3.0499e-05
105,3.115e-05
106,3.137e-05
107,3.6109e-05
108,3.276e-05
109,3.313e-05
110,3.3869e-05
111,3.447e-05
112,3.518e-05
113,3.5719e-05
114,3.623e-05
115,3.747e-05
116,3.769e-05
117,3.7909e-05
118,4.303e-05
119,3.955e-05
120,4.029e-05
121,4.0949e-05
122,4.1109e-05
123,4.202e-05
124,4.252e-05
125,4.321e-05
126,4.39e-05
127,4.5259e-05
128,4.5739e-05
129,4.6159e-05
130,4.7409e-05
131,4.7919e-05
132,4.8019e-05
133,4.8909e-05
134,5.0229e-05
135,5.2989e-05
136,5.2989e-05
137,5.382e-05
138,5.285e-05
139,5.388e-05
140,5.366e-05
141,5.488e-05
142,5.8089e-05
143,5.6869e-05
144,5.8699e-05
145,6.003e-05
146,5.957e-05
147,5.9409e-05
148,6.359e-05
149,6.074e-05
150,6.1469e-05
151,6.239e-05
152,6.5689e-05
153,6.642e-05
154,6.4489e-05
155,6.536e-05
156,6.592e-05
157,6.6929e-05
158,6.7959e-05
159,6.888e-05
160,7.1829e-05
161,7.33e-05
162,7.105e-05
163,7.2119e-05
164,7.2719e-05
165,7.366e-05
166,7.1869e-05
167,7.2779e-05
168,7.6689e-05
169,7.66e-05
170,7.493e-05
171,7.6179e-05
172,8.0529e-05
173,7.7539e-05
174,7.8489e-05
175,7.9459e-05
176,8.7119e-05
177,8.4849e-05
178,8.1919e-05
179,8.2969e-05
180,8.3619e-05
181,8.4589e-05
182,8.5959e-05
183,8.7189e-05
184,9.164e-05
185,9.2629e-05
186,8.9709e-05
187,9.0669e-05
188,9.145e-05
189,9.2369e-05
190,9.739e-05
191,9.4579e-05
192,9.8779e-05
193,0.00010315
194,9.7579e-05
195,9.8319e-05
196,9.9129e-05
197,0.000100189
198,0.000101439
199,0.000106069
200,0.000107679
201,0.000108849
202,0.000109069
203,0.000106519
204,0.000107209
205,0.00010826
206,0.000109479
207,0.000110629
208,0.000116479
209,0.000117559
210,0.000117369
211,0.000114909
