size,time_seconds
2,2e-08
3,1e-08
4,2e-08
5,1e-08
6,1e-08
7,1e-08
8,2e-08
9,2e-08
10,1e-08
11,2e-08
12,1e-08
13,1e-08
14,1e-08
15,2e-08
16,2e-08
17,1e-08
18,1e-08
19,1e-08
20,2e-08
21,1e-08
22,1e-08
23,2e-08
24,1e-08
25,2e-08
26,2e-08
27,2e-08
28,2e-08
29,2e-08
30,1e-08
31,1e-08
32,2e-08
33,1e-08
34,1e-08
35,2e-08
36,2e-08
37,2e-08
38,2e-08
39,2e-08
40,1e-08
41,2e-08
42,1e-08
43,1e-08
44,2e-08
45,1e-08
46,1e-08
47,1e-08
48,2e-08
49,2e-08
50,2e-08
51,2e-08
52,2e-08
53,2e-08
54,2e-08
55,2e-08
56,2e-08
57,1e-08
58,2e-08
59,2e-08
60,2e-08
61,1e-08
62,2e-08
63,2e-08
64,2e-08
65,1e-08
66,1e-08
67,1e-08
68,1e-08
69,2e-08
70,2e-08
71,2e-08
72,1e-08
73,1e-08
74,2e-08
75,2e-08
76,2e-08
77,1e-08
78,2e-08
79,2e-08
80,1e-08
81,2e-08
82,1e-08
83,2e-08
84,1e-08
85,2e-08
86,2e-08
87,1e-08
88,2e-08
89,1e-08
90,2e-08
91,2e-08
92,1e-08
93,1e-08
94,2e-08
95,1e-08
96,1e-08
97,2e-08
98,2e-08
99,2e-08
100,2e-08
101,2e-08
102,1e-08
103,2e-08
104,1e-08
105,2e-08
106,2e-08
107,1e-08
108,2e-08
109,1e-08
110,2e-08
111,2e-08
112,2e-08
113,1e-08
114,2e-08
115,2e-08
116,2e-08
117,2e-08
118,1e-08
119,2e-08
120,2e-08
121,2e-08
122,2e-08
123,2e-08
124,3e-08
125,2e-08
126,2e-08
127,2e-08
128,2e-08
129,2e-08
130,1e-08
131,1e-08
132,2e-08
133,1e-08
134,2e-08
135,2e-08
136,2e-08
137,2e-08
138,2e-08
139,1e-08
140,2e-08
141,2e-08
142,2e-08
143,1e-08
144,2e-08
145,2e-08
146,1e-08
147,1e-08
148,1e-08
149,2e-08
150,2e-08
151,1e-08
152,2e-08
153,1e-08
154,1e-08
155,1e-08
156,1e-08
157,2e-08
158,2e-08
159,3e-08
160,1e-08
161,2e-08
162,2e-08
163,2e-08
164,1e-08
165,2e-08
166,1e-08
167,1e-08
168,1e-08
169,1e-08
170,2e-08
171,1e-08
172,2e-08
173,2e-08
174,1e-08
175,2e-08
176,2e-08
177,2e-08
178,2e-08
179,1e-08
180,2e-08
181,2e-08
182,2e-08
183,1e-08
184,2e-08
185,2e-08
186,2e-08
187,2e-08
188,2e-08
189,1e-08
190,1e-08
191,2e-08
192,2e-08
193,2e-08
194,1e-08
195,1e-08
196,2e-08
197,2e-08
198,1e-08
199,1e-08
200,1e-08
201,2e-08
202,2e-08
203,1e-08
204,1e-08
205,1e-08
206,2e-08
207,2e-08
208,1e-08
209,2e-08
210,2e-08
211,2e-08
212,2e-08
213,2e-08
214,2e-08
215,2e-08
216,2e-08
217,2e-08
218,1e-08
219,1e-08
220,1e-08
221,2e-08
222,2e-08
223,2e-08
224,1e-08
225,2e-08
226,1e-08
227,1e-08
228,2e-08
229,1e-08
230,1e-08
231,2e-08
232,2e-08
233,2e-08
234,2e-08
235,1e-08
236,2e-08
237,1e-08
238,1e-08
239,2e-08
240,1e-08
241,1e-08
242,2e-08
243,1e-08
244,2e-08
245,2e-08
246,2e-08
247,2e-08
248,1e-08
249,2e-08
250,2e-08
251,2e-08
252,1e-08
253,1e-08
254,2e-08
255,2e-08
256,2e-08
257,2e-08
258,1e-08
259,2e-08
260,2e-08
261,2e-08
262,1e-08
263,1e-08
264,2e-08
265,1e-08
266,2e-08
267,1e-08
268,1e-08
269,2e-08
270,2e-08
271,2e-08
272,2e-08
273,2e-08
274,1e-08
275,1e-08
276,2e-08
277,1e-08
278,1e-08
279,1e-08
280,2e-08
281,2e-08
282,2e-08
283,2e-08
284,2e-08
285,2e-08
286,2e-08
287,2e-08
288,2e-08
289,2e-08
290,1e-08
291,1e-08
292,2e-08
293,1e-08
294,1e-08
295,1e-08
296,2e-08
297,1e-08
298,2e-08
299,2e-08
300,1e-08
301,1e-08
302,2e-08
303,2e-08
304,2e-08
305,2e-08
306,2e-08
307,2e-08
308,1e-08
309,2e-08
310,2e-08
311,1e-08
312,2e-08
313,1e-08
314,1e-08
315,2e-08
316,1e-08
317,2e-08
318,2e-08
319,1e-08
320,2e-08
321,1e-08
322,2e-08
323,2e-08
324,2e-08
325,2e-08
326,1e-08
327,2e-08
328,1e-08
329,2e-08
330,1e-08
331,1e-08
332,2e-08
333,2e-08
334,1e-08
335,2e-08
336,2e-08
337,2e-08
338,2e-08
339,1e-08
340,2e-08
341,2e-08
342,2e-08
343,2e-08
344,1e-08
345,1e-08
346,2e-08
347,2e-08
348,2e-08
349,2e-08
350,1e-08
351,2e-08
352,2e-08
353,2e-08
354,1e-08
355,2e-08
356,1e-08
357,1e-08
358,1e-08
359,2e-08
360,2e-08
361,3e-08
362,2e-08
363,1e-08
364,1e-08
365,2e-08
366,1e-08
367,3e-08
368,2e-08
369,2e-08
370,2e-08
371,2e-08
372,1e-08
373,2e-08
374,2e-08
375,1e-08
376,1e-08
377,2e-08
378,1e-08
379,1e-08
380,2e-08
381,2e-08
382,2e-08
383,2e-08
384,1e-08
385,1e-08
386,2e-08
387,1e-08
388,1e-08
389,2e-08
390,2e-08
391,2e-08
392,2e-08
393,2e-08
394,2e-08
395,2e-08
396,2e-08
397,1e-08
398,1e-08
399,2e-08
400,2e-08
401,2e-08
402,2e-08
403,2e-08
404,2e-08
405,2e-08
406,1e-08
407,1e-08
408,1e-08
409,1e-08
410,2e-08
411,2e-08
412,2e-08
413,2e-08
414,2e-08
415,1e-08
416,2e-08
417,2e-08
418,2e-08
419,2e-08
420,2e-08
421,2e-08
422,1e-08
423,1e-08
424,2e-08
425,1e-08
426,1e-08
427,1e-08
428,2e-08
429,2e-08
430,1e-08
431,1e-08
432,2e-08
433,2e-08
434,2e-08
435,2e-08
436,1e-08
437,1e-08
438,2e-08
439,1e-08
440,1e-08
441,2e-08
442,1e-08
443,2e-08
444,2e-08
445,1e-08
446,2e-08
447,2e-08
448,2e-08
449,2e-08
450,1e-08
451,2e-08
452,1e-08
453,2e-08
454,2e-08
455,2e-08
456,2e-08
457,2e-08
458,1e-08
459,2e-08
460,2e-08
461,1e-08
462,2e-08
463,1e-08
464,1e-08
465,2e-08
466,2e-08
467,2e-08
468,2e-08
469,3e-08
470,1e-08
471,3e-08
472,1e-08
473,2e-08
474,3e-08
475,1e-08
476,1e-08
477,2e-08
478,2e-08
479,2e-08
480,2e-08
481,3e-08
482,2e-08
483,2e-08
484,2e-08
485,1e-08
486,1e-08
487,5e-08
488,2e-08
489,3e-08
490,2e-08
491,2e-08
492,2e-08
493,1e-08
494,1e-08
495,1e-08
496,1e-08
497,1e-08
498,2e-08
499,1e-08
500,2e-08
501,1e-08
502,1e-08
503,2e-08
504,2e-08
505,1e-08
506,1e-08
507,2e-08
508,1e-08
509,2e-08
510,1e-08
511,1e-08
512,1e-08
513,2e-08
514,1e-08
515,2e-08
516,2e-08
517,1e-08
518,1e-08
519,1e-08
520,1e-08
521,2e-08
522,2e-08
523,2e-08
524,1e-08
525,2e-08
526,2e-08
527,2e-08
528,2e-08
529,3e-08
530,2e-08
531,2e-08
532,2e-08
533,2e-08
534,1e-08
535,2e-08
536,1e-08
537,1e-08
538,2e-08
539,2e-08
540,2e-08
541,3e-08
542,1e-08
543,2e-08
544,1e-08
545,1e-08
546,2e-08
547,2e-08
548,1e-08
549,2e-08
550,1e-08
551,2e-08
552,2e-08
553,1e-08
554,2e-08
555,2e-08
556,1e-08
557,1e-08
558,3e-08
559,3e-08
560,1e-08
561,2e-08
562,2e-08
563,1e-08
564,1e-08
565,2e-08
566,1e-08
567,1e-08
568,2e-08
569,2e-08
570,3e-08
571,2e-08
572,3e-08
573,2e-08
574,1e-08
575,1e-08
576,2e-08
577,2e-08
578,1e-08
579,1e-08
580,2e-08
581,1e-08
582,1e-08
583,2e-08
584,1e-08
585,1e-08
586,1e-08
587,2e-08
588,2e-08
589,1e-08
590,2e-08
591,2e-08
592,2e-08
593,1e-08
594,2e-08
595,2e-08
596,1e-08
597,2e-08
598,2e-08
599,1e-08
600,2e-08
601,1e-08
602,2e-08
603,1e-08
604,2e-08
605,1e-08
606,1e-08
607,1e-08
608,2e-08
609,1e-08
610,1e-08
611,1e-08
612,1e-08
613,1e-08
614,1e-08
615,2e-08
616,3e-08
617,1e-08
618,1e-08
619,2e-08
620,1e-08
621,2e-08
622,1e-08
623,2e-08
624,2e-08
625,2e-08
626,3e-08
627,1e-08
628,1e-08
629,2e-08
630,2e-08
631,2e-08
632,2e-08
633,1e-08
634,1e-08
635,1e-08
636,2e-08
637,2e-08
638,1e-08
639,1e-08
640,1e-08
641,2e-08
642,2e-08
643,2e-08
644,2e-08
645,2e-08
646,2e-08
647,2e-08
648,2e-08
649,2e-08
650,1e-08
651,2e-08
652,1e-08
653,2e-08
654,1e-08
655,2e-08
656,1e-08
657,2e-08
658,1e-08
659,2e-08
660,2e-08
