size,time_seconds
2,2.3e-07
3,3e-08
4,1.1e-07
5,1.4e-07
6,7e-08
7,8e-08
8,1e-07
9,1.7e-07
10,1.5e-07
11,4e-07
12,2.3e-07
13,2.4e-07
14,2.8e-07
15,3.2e-07
16,3.5e-07
17,3.9e-07
18,4.3e-07
19,4.8e-07
20,5.3e-07
21,5.9e-07
22,6.4e-07
23,7e-07
24,7.8e-07
25,1.72e-06
26,1.13e-06
27,9.9e-07
28,1.06e-06
29,1.13e-06
30,1.21e-06
31,1.37e-06
32,1.37e-06
33,1.45e-06
34,1.55e-06
35,1.72e-06
36,1.79e-06
37,1.929e-06
38,1.95e-06
39,2.41e-06
40,2.17e-06
41,2.37e-06
42,2.71e-06
43,2.46e-06
44,2.76e-06
45,3.03e-06
46,2.81e-06
47,3.1e-06
48,3.18e-06
49,3.45e-06
50,3.45e-06
51,3.75e-06
52,3.59e-06
53,3.85e-06
54,4.05e-06
55,4.16e-06
56,4.32e-06
57,4.43e-06
58,4.62e-06
59,4.76e-06
60,4.79e-06
61,4.94e-06
62,5.1e-06
63,5.27e-06
64,5.449e-06
65,5.75e-06
66,5.79e-06
67,6.68e-06
68,6.29e-06
69,6.46e-06
70,6.64e-06
71,6.69e-06
72,6.999e-06
73,7.07e-06
74,7.26e-06
75,7.67e-06
76,7.66e-06
77,7.85e-06
78,8.14e-06
79,8.48e-06
80,8.48e-06
81,8.9e-06
82,9.01e-06
83,9.13e-06
84,9.52e-06
85,9.79e-06
86,9.79e-06
87,1.002e-05
88,1.034e-05
89,1.065e-05
90,1.071e-05
91,1.123e-05
92,1.4679e-05
93,1.308e-05
94,1.17e-05
95,1.315e-05
96,1.367e-05
97,1.371e-05
98,1.304e-05
99,1.413e-05
100,1.445e-05
101,1.481e-05
102,1.509e-05
103,1.402e-05
104,1.547e-05
105,1.595e-05
106,1.6149e-05
107,1.642e-05
108,1.573e-05
109,1.707e-05
110,1.776e-05
111,1.7409e-05
112,1.793e-05
113,1.808e-05
114,1.8429e-05
115,1.866e-05
116,1.802e-05
117,1.9319e-05
118,1.948e-05
119,2.325e-05
120,2.024e-05
121,2.0759e-05
122,2.099e-05
123,2.126e-05
124,2.147e-05
125,2.203e-05
126,2.2269e-05
127,2.262e-05
128,2.292e-05
129,2.441e-05
130,2.447e-05
131,2.391e-05
132,2.427e-05
133,2.517e-05
134,2.516e-05
135,2.534e-05
136,2.593e-05
137,2.611e-05
138,2.643e-05
139,2.694e-05
140,2.727e-05
141,2.863e-05
142,2.815e-05
143,2.832e-05
144,2.884e-05
145,2.9329e-05
146,2.94e-05
147,2.986e-05
148,3.033e-05
149,3.2799e-05
150,2.997e-05
151,3.178e-05
152,3.1879e-05
153,3.262e-05
154,3.384e-05
155,3.3219e-05
156,3.396e-05
157,3.4169e-05
158,3.447e-05
159,3.685e-05
160,3.5469e-05
161,3.655e-05
162,3.928e-05
163,3.768e-05
164,3.715e-05
165,3.7709e-05
166,3.9219e-05
167,3.841e-05
168,3.909e-05
169,3.942e-05
170,4.0629e-05
171,4.0189e-05
172,3.872e-05
173,4.302e-05
174,3.99e-05
175,4.042e-05
176,4.221e-05
177,4.162e-05
178,4.286e-05
179,4.245e-05
180,4.295e-05
181,4.463e-05
182,4.567e-05
183,4.7229e-05
184,4.7489e-05
185,4.847e-05
186,4.802e-05
187,4.8109e-05
188,5.008e-05
189,4.7309e-05
190,4.8899e-05
191,4.824e-05
192,5.0009e-05
193,5.152e-05
194,5.3219e-05
195,5.458e-05
196,5.384e-05
197,5.3669e-05
198,5.5439e-05
199,5.638e-05
200,5.5179e-05
201,5.7089e-05
202,5.6439e-05
203,5.63e-05
204,5.536e-05
205,5.6989e-05
206,6.3559e-05
207,5.9229e-05
208,6.0829e-05
209,6.0739e-05
210,6.2139e-05
211,6.2559e-05
212,6.221e-05
213,6.411e-05
214,7.0159e-05
215,6.1729e-05
216,6.3859e-05
217,6.702e-05
218,6.7909e-05
219,6.6409e-05
220,6.8299e-05
221,6.9219e-05
222,7.1019e-05
223,6.822e-05
224,6.8189e-05
225,6.939e-05
226,7.1569e-05
227,7.232e-05
228,7.317e-05
229,7.3379e-05
230,7.4519e-05
231,7.3649e-05
232,7.808e-05
233,7.609e-05
234,7.747e-05
235,7.744e-05
236,7.693e-05
237,7.899e-05
238,7.973e-05
239,8.0399e-05
240,8.0879e-05
241,8.1679e-05
