size,time_seconds
2,0.00827862
3,0.00598441
4,0.00598077
5,0.00600303
6,0.00598448
7,0.00600535
8,0.00598164
9,0.00600477
10,0.00598796
11,0.00599132
12,0.00599136
13,0.00599229
14,0.00599314
15,0.00599235
16,0.00599291
17,0.00599013
18,0.00599216
19,0.0059822
20,0.00599799
21,0.00587317
22,0.00610701
23,0.00598112
24,0.00598787
25,0.00497864
26,0.00599597
27,0.00598848
28,0.00297794
29,0.00598696
30,0.00598333
31,0.00598626
32,0.00599156
33,0.00297505
34,0.00497337
35,0.00598986
36,0.00597267
37,0.00598846
38,0.00598058
39,0.0059802
40,0.00597905
41,0.00597843
42,0.0059789
43,0.00597639
44,0.00597851
45,0.00597277
46,0.00597437
47,0.00596562
48,0.00597385
49,0.0079721
50,0.0059806
51,0.00597014
52,0.00595909
53,0.00597916
54,0.00595834
55,0.00597571
56,0.00596454
57,0.00595878
58,0.00596255
59,0.00594581
60,0.00596954
61,0.00595983
62,0.00595812
63,0.00595915
64,0.00595633
65,0.00595514
66,0.00595203
67,0.00594538
68,0.00595113
69,0.00594563
70,0.00494424
71,0.00668561
72,0.006879
73,0.00517869
74,0.00489189
75,0.00691342
76,0.00691333
77,0.00690613
78,0.00591654
79,0.00591274
80,0.0049204
81,0.00490047
82,0.00592034
83,0.00591448
84,0.00590793
85,0.00590942
86,0.0422406
87,0.0417493
88,0.0378919
89,0.0388983
90,0.0418423
91,0.040877
92,0.0428756
93,0.0418832
94,0.0418672
95,0.0397961
96,0.0419212
97,0.0397948
98,0.0398582
99,0.0418198
100,0.0398069
101,0.0378053
102,0.0418238
103,0.0388068
104,0.0418393
105,0.0425352
106,0.0330079
107,0.0397755
108,0.0435237
109,0.0410661
110,0.0407603
111,0.0417946
112,0.0417505
113,0.0417558
114,0.0377452
115,0.0407576
116,0.0397862
117,0.0387627
118,0.0337682
119,0.0407185
120,0.0396826
121,0.0417489
122,0.0386511
123,0.0396872
124,0.0417087
125,0.0466861
126,0.0386689
127,0.0429263
128,0.0413453
129,0.00555958
130,0.00471667
131,0.00574277
132,0.00571622
133,0.005745
134,0.00573219
135,0.00573983
136,0.00573065
137,0.00573395
138,0.00574472
139,0.00574401
140,0.00373236
141,0.0035866
142,0.00562838
143,0.00565508
144,0.00562646
145,0.00564323
146,0.00559981
147,0.00565457
148,0.00566507
149,0.00566007
150,0.005665
151,0.00565029
152,0.00379433
153,0.00545962
154,0.00563656
155,0.00566142
156,0.0063799
157,0.00661891
158,0.00583518
159,0.00558378
160,0.00558559
161,0.00560128
162,0.00553638
163,0.00358901
164,0.00557971
165,0.0055481
166,0.00550961
167,0.00545529
168,0.00544025
169,0.00539341
170,0.00530244
171,0.293651
172,0.28606
173,0.288374
174,0.288436
175,0.0392646
176,0.0179552
177,0.206333
178,0.289933
179,0.285599
180,0.252169
181,0.116592
182,0.274602
183,0.281187
184,0.0912355
185,0.023426
186,0.0251737
187,0.0294139
188,0.253474
189,0.0202196
190,0.283699
191,0.29329
192,0.2872
193,0.296406
194,0.301181
195,0.286187
196,0.291399
197,0.153504
198,0.0233751
199,0.0893628
200,0.289131
201,0.291161
202,0.296124
203,0.293213
204,0.287241
205,0.290207
206,0.286215
207,0.299156
208,0.298222
209,0.297107
210,0.307392
211,0.28125
212,0.299053
213,0.287045
214,0.091733
215,0.0139797
216,0.0126827
217,0.0110717
218,0.0157671
219,0.013827
220,0.0142856
221,0.0122243
222,0.0151545
223,0.0144009
224,0.0146767
225,0.0110563
226,0.017027
227,0.0128092
228,0.014879
229,0.0117685
230,0.0120045
231,0.0112687
232,0.0110307
233,0.0140329
234,0.0113273
235,0.0128928
236,0.0112022
237,0.0117364
238,0.0471057
239,0.169459
240,0.278882
